etf,grp,calmA,turbA,gapA,gapF,bp,resGapA,rbp,beta
GLD,precious metal,0.13491559002407397,0.04502564851804573,0.08988994150602823,0.0025822980390237575,0.13425,0.08497466268026589,0.1555,0.05852063109177197
IAU,precious metal,0.13794395147652633,0.04413907792064287,0.09380487355588346,0.002590302014097626,0.13125,0.08889419258328472,0.147,0.05846588968678967
SLV,precious metal,0.2536087185330357,-0.026691569106971937,0.28030028764000764,0.018106343465789706,0.03725,0.24620883237545887,0.055,0.4058881596831648
GDX,metal miners,0.1716625265022141,0.05040838802253882,0.12125413847967528,0.006726482197597268,0.25525,0.08062809990035201,0.32825,0.48368800645850285
GDXJ,metal miners,0.23105465116679258,-0.002069998223876871,0.23312464939066946,0.011899508902940486,0.144,0.17407033764782634,0.21175,0.7030924825196307
SIL,metal miners,0.2644537677401168,-0.03653417021528215,0.30098793795539897,0.021439286320697356,0.07575,0.24789752920862526,0.09425,0.7383941314544022
XLE,energy,0.08738112771376266,0.14040304349110416,-0.0530219157773415,0.005099140840013335,0.34975,-0.14177141980625235,0.08375,1.0566393421329674
XOP,energy,0.05724588860965718,0.1289468095830757,-0.07170092097341851,0.008851344279426354,0.363,-0.183416220307321,0.1085,1.330066930356128
OIH,energy,0.05328476151497906,0.04087153921128113,0.01241322230369793,0.01518600908700796,0.481,-0.09974407464429691,0.2465,1.3353292929269296
IEO,energy,0.10167443363304893,0.13502323052119428,-0.03334879688814535,0.008577306673738145,0.415,-0.13425770810636184,0.13975,1.201407565390299
XES,energy,0.05604856069335943,0.02289115444225679,0.03315740625110264,0.01645756819601933,0.441,-0.08618101884487854,0.2985,1.4208268132239323
FCG,energy,-0.015215886977844918,0.07397390823011464,-0.08918979520795955,0.0060449491243806195,0.313,-0.1917851476518181,0.12125,1.221486101791222
IXC,energy,0.07206285840322332,0.1146691324415384,-0.04260627403831507,0.004296579189568374,0.36325,-0.12731926590401585,0.086,1.0085811856022386
DBO,energy,0.055786062572893376,0.016662743582139407,0.03912331899075397,-0.0020580802208707187,0.3935,-0.01373030314097775,0.4495,0.6292679280824464
DBC,broad futures,0.036239946829441594,0.03668936757667819,-0.00044942074723659797,-0.00039127291844143685,0.509,-0.0327694154010925,0.3335,0.3847973942216796
GSG,broad futures,0.013903493636241705,0.03575797530877826,-0.021854481672536553,-0.0019980069678268717,0.4095,-0.060482265063857094,0.26925,0.45989705607102527
DBA,broad futures,0.03851690655973226,-0.004752141200921993,0.04326904776065425,0.0038284048249414677,0.25475,0.0266286394381348,0.33625,0.19811840409838385
XME,industrial/mat,0.1482288704870275,0.07313643233621978,0.07509243815080771,0.0028674526281353314,0.31575,-0.033361675716667705,0.3855,1.2912397064350056
VAW,industrial/mat,0.13221091043176117,0.08736236335169377,0.0448485470800674,0.0018812750151872212,0.341,-0.04433041541016239,0.21375,1.061752415282015
IYM,industrial/mat,0.11946150489696855,0.09254046737376113,0.026921037523207417,0.0004065508558724288,0.40575,-0.06361147612501131,0.1565,1.0778676084965577
MOO,industrial/mat,0.09465909193343773,0.043822800894597204,0.05083629103884053,0.004316562742872702,0.2855,-0.025134525566987465,0.3235,0.9044980539106633
