label,calm,turb,gap,bootP,level_ctrl,n
realized21 - VIX (vol pts),-4.143869889931759,-3.256226967941431,-0.8876429219903281,0.9996,-0.5984214023052719,4111
realized63 - VIX (vol pts),-3.479516922215653,-2.594619154842201,-0.8848977673734519,0.9986,-0.16575597237320214,4069
long-vol P&L: dVIX over 21d,-0.2561960132890366,0.31765569917743824,-0.5738517124664748,0.9982,-0.11777042364746253,4110
fwd 21d maxDD (neg=worse),2.417770815295642,2.4847501930090794,-0.06697937771343732,0.7502,-0.2233281194816461,4111
fwd 21d worst-day (neg=worse),1.9134456011706438,1.808009019037219,0.10543658213342488,0.0064,-0.00513638846069527,4111
HY OAS widening over 21d (bps),-0.5885286783042386,-8.351681957186544,7.763153278882306,0.0016,5.505820943715612,728
HY OAS widening over 63d (bps),-2.7406483790523692,-19.203508771929826,16.462860392877456,0.0,7.698464552214069,686
IG OAS widening over 21d (bps),-0.8827930174563594,-2.6299694189602443,1.7471764015038849,0.0018,1.4202311464366844,728
Gold (GLD) fwd 21d ret,0.8926330200264514,0.6344032161240756,0.2582298039023758,0.034,,4110
Gold miners (GDX) fwd 21d ret,1.1870203714101972,0.5143721516504703,0.6726482197597269,0.0162,,4110
Silver (SLV) fwd 21d ret,1.8712190724935314,0.060584725914560794,1.8106343465789705,0.0,,4110
Long Tsy (TLT) fwd 21d ret,0.16642352930040508,0.4466787693914448,-0.28025524009103975,0.9862,,4110
Energy (XLE) fwd 21d ret,1.1546715768533609,0.6447574928520273,0.5099140840013335,0.0216,,4110
Broad commod (DBC) fwd 21d ret,0.31734185349504823,0.35646914533919183,-0.0391272918441436,0.6054,,4110
