gecko_id,n_venues,n_clean,n_quoting,depth_2pct_usd,adv_usd_quoting,adv_usd_clean,adv_usd_all,spread_pct,flagged_vol_share
across-protocol,14.0,7.0,7.0,184520.8399204358,129348.11,129348.11,138132.50999999998,0.36295304678614937,0.06359400839092821
adrena,,,,,,,,,
aerodrome-finance,100.0,82.0,80.0,2856140.3166534514,145514519.70000002,145532741.87,157095193.45,0.22579388844268067,0.07360156174148036
ankr,71.0,61.0,59.0,1853327.778987373,15928274.1,15928446.74,16546860.85,0.45789911828564095,0.037373500363967804
apex-token-2,14.0,10.0,9.0,135867.27417313546,1468793.44,1468823.9,1470001.8099999998,0.13420707647517816,0.0008012983330951684
aura-finance,1.0,1.0,1.0,383.1869988159235,411.83,411.83,411.83,0.623867,0.0
avalon-2,11.0,8.0,8.0,19131.497305474953,345120.57,345120.57,347833.92000000004,0.4308827077934821,0.007800705578110523
balancer,28.0,19.0,19.0,27320.861803590513,255670.05380200004,255670.05380200004,307572.12380199996,0.8272173820102139,0.1687476399305028
bancor,100.0,65.0,63.0,495248.17823339906,1529109.5599999996,1529150.5399999998,1665245.0,0.23220907642260114,0.081726388609484
bankercoin-2,30.0,25.0,25.0,96866.42766727271,1770220.0899999999,1770220.0899999999,1841427.1799999997,0.3953159734178252,0.03866951176423927
ben-pasternak,12.0,12.0,12.0,12648.98659055426,85387.504,85387.504,85387.504,0.8330379913334156,0.0
benqi,25.0,23.0,22.0,121694.28564695195,609975.4699999999,609987.3499999999,610321.85,0.2808523238818113,0.0005480714806460618
bifrost-native-coin,9.0,6.0,6.0,4376.207750089251,376185.41,376185.41,377027.19,0.49754195121121253,0.0022326771711080884
binancecoin,100.0,93.0,93.0,120054777.51195027,1004740153.0,1004740153.0,1020603314.0,0.08386972500831599,0.015542925230987437
biswap,8.0,6.0,6.0,2579.2846197309195,1682.95,1682.95,1763.23,0.6377449304257405,0.04553007832217004
bluefin,19.0,15.0,15.0,33557.038972785005,1744757.0000000002,1744757.0000000002,1749482.6800000002,3.675815075027737,0.002701187073198108
bone-shibaswap,21.0,14.0,14.0,62898.00570786665,1460472.61,1460472.61,1533202.7200000002,2.180974452230261,0.047436721218444
camelot-token,4.0,4.0,4.0,4903.334450465602,4374.12,4374.12,4374.12,0.6177648366437134,0.0
centrifuge-2,59.0,47.0,47.0,843374.08673288,33538354.73,33538354.73,50585291.43,0.23022795086488373,0.33699394069103217
