gecko_id,symbol,adapters,category,alltime_fees,price_start,price_days,ticker,okx_perp_listed,hl_perp_listed,perp_listed
aave,AAVE,aave-v3|aave-v2,Lending,2282297314.0,2020-10-03,1843,AAVE,2020-12-10,2023-07-18,2020-12-10
across-protocol,ACX,across,Cross Chain Bridge,18740626.0,2022-11-28,1220,ACX,,,
adrena,ADX,adrena-protocol,Derivatives,10746539.27,2024-09-27,671,ADX,,,
aerodrome-finance,AERO,aerodrome-slipstream|aerodrome-v1,Dexs,536025481.0,2023-09-15,883,AERO,2025-07-03,2025-11-11,2025-07-03
aethir,ATH,aethir,Developer Tools,178831316.26999998,2024-06-13,664,ATH,2024-06-13,,2024-06-13
ami,AMI,amnis-finance,Liquid Staking,13583951.0,2025-03-26,517,AMI,,,
ankr,ANKR,ankr,Liquid Staking,10884422.0,2019-03-07,2494,ANKR,,,
apex-token-2,-,apex-omni|apex-pro,Derivatives,40821152.0,2022-04-27,1342,APEX,,2025-09-27,2025-09-27
arbitrum,,arbitrum,Chain,169301636.0,2023-03-24,1044,ARB,2023-03-23,2023-05-12,2023-03-23
aura-finance,AURA,aura,Yield,36267573.0,2022-06-16,1380,AURA,,,
avalanche-2,,avalanche,Chain,91677752.0,2020-09-23,1831,AVAX,2020-09-23,2023-05-12,2020-09-23
avalon-2,AVL,avalon-usda,CDP,11194953.0,2025-02-12,503,AVL,,,
avantis,AVNT,avantis,Derivatives,24117269.0,2025-09-09,296,AVNT,2025-09-22,2025-09-21,2025-09-21
axie-infinity,AXS,axie-infinity,Gaming,1413391241.73,2020-11-05,1812,AXS,2021-07-28,2026-01-18,2021-07-28
balancer,BAL,balancer-v1|balancer-v2|balancer-v3,Dexs,301492182.0,2020-06-24,2066,BAL,,,
banana-gun,BANANA,banana-gun,Telegram Bot,87070156.0,2023-09-15,945,BANANA,,2023-09-15,2023-09-15
bancor,BNT,bancor-v2.1,Dexs,60319284.72999999,2019-01-01,2623,BNT,,2023-10-08,2023-10-08
bankercoin-2,BNKR,bankr,Interface,33357809.0,2024-12-10,602,BNKR,,,
ben-pasternak,LAUNCHCOIN,launch-coin-on-believe,Launchpad,40910391.41,2025-01-24,547,BELIEVE,,,
benqi,QI,benqi-staked-avax|benqi-lending,Liquid Staking,72544644.0,2021-08-20,1696,QI,,,
bifrost-native-coin,BNC,bifrost-liquid-staking,Liquid Staking,16730910.0,2021-10-22,1588,BNC,,,
binancecoin,,bsc,Chain,2061602336.0,2019-01-01,2505,BNB,2022-12-23,2023-05-12,2022-12-23
biswap,BSW,biswap-v2,Dexs,87812160.75999999,2021-07-05,1664,BSW,,,
bitcoin,,bitcoin,Chain,4438706130.0,2019-01-01,2524,BTC,2019-11-12,2023-05-12,2019-11-12
bitlayer-bitvm,,bitlayer,Chain,25704916.0,2025-08-28,348,BTR,,,
blackhole,BLACK,blackhole-clmm,Dexs,18848996.0,2025-07-16,410,BLACK,,,
blast,,blast,Chain,13845217.289999995,2019-01-01,1768,BLAST,,2024-06-26,2024-06-26
bluefin,BLUE,bluefin-spot|bluefin-legacy,Dexs,40134689.0,2024-12-11,593,BLUE,,,
blur,BLUR,blur-bids,NFT Marketplace,70820755.25999999,2023-02-14,1128,BLUR,2023-02-15,2023-10-18,2023-02-15
bone-shibaswap,BONE,shibaswap-v1,Dexs,52971643.96,2021-07-07,1715,BONE,,,
camelot-token,GRAIL,camelot-v3|camelot-v2,Dexs,54580566.02,2022-12-08,1254,GRAIL,,,
