gecko_id,symbol,adapters,category,alltime_fees,price_start,price_days
aave,AAVE,aave-v3|aave-v2,Lending,2282297314.0,2020-10-03,1843
across-protocol,ACX,across,Cross Chain Bridge,18740626.0,2022-11-28,1220
adrena,ADX,adrena-protocol,Derivatives,10746539.270000001,2024-09-27,671
aerodrome-finance,AERO,aerodrome-slipstream|aerodrome-v1,Dexs,536025481.0,2023-09-15,883
aethir,ATH,aethir,Developer Tools,178831316.26999998,2024-06-13,664
ami,AMI,amnis-finance,Liquid Staking,13583951.0,2025-03-26,517
ankr,ANKR,ankr,Liquid Staking,10884422.0,2019-03-07,2494
apex-token-2,-,apex-omni|apex-pro,Derivatives,40821152.0,2022-04-27,1342
arbitrum,,arbitrum,Chain,169301636.0,2023-03-24,1044
aura-finance,AURA,aura,Yield,36267573.0,2022-06-16,1380
avalanche-2,,avalanche,Chain,91677752.0,2020-09-23,1831
avalon-2,AVL,avalon-usda,CDP,11194953.0,2025-02-12,503
avantis,AVNT,avantis,Derivatives,24117269.0,2025-09-09,296
axie-infinity,AXS,axie-infinity,Gaming,1413391241.73,2020-11-05,1812
balancer,BAL,balancer-v1|balancer-v2|balancer-v3,Dexs,301492182.0,2020-06-24,2066
banana-gun,BANANA,banana-gun,Telegram Bot,87070156.0,2023-09-15,945
bancor,BNT,bancor-v2.1,Dexs,60319284.72999999,2019-01-01,2623
bankercoin-2,BNKR,bankr,Interface,33357809.0,2024-12-10,602
ben-pasternak,LAUNCHCOIN,launch-coin-on-believe,Launchpad,40910391.41,2025-01-24,547
benqi,QI,benqi-staked-avax|benqi-lending,Liquid Staking,72544644.0,2021-08-20,1696
bifrost-native-coin,BNC,bifrost-liquid-staking,Liquid Staking,16730910.0,2021-10-22,1588
binancecoin,,bsc,Chain,2061602336.0,2019-01-01,2505
biswap,BSW,biswap-v2,Dexs,87812160.75999999,2021-07-05,1664
bitcoin,,bitcoin,Chain,4438706130.0,2019-01-01,2524
bitlayer-bitvm,,bitlayer,Chain,25704916.0,2025-08-28,348
blackhole,BLACK,blackhole-clmm,Dexs,18848996.0,2025-07-16,410
blast,,blast,Chain,13845217.289999997,2019-01-01,1768
bluefin,BLUE,bluefin-spot|bluefin-legacy,Dexs,40134689.0,2024-12-11,593
blur,BLUR,blur-bids,NFT Marketplace,70820755.25999999,2023-02-14,1128
bone-shibaswap,BONE,shibaswap-v1,Dexs,52971643.96,2021-07-07,1715
camelot-token,GRAIL,camelot-v3|camelot-v2,Dexs,54580566.019999996,2022-12-08,1254
canton-network,,canton,Chain,615588758.0,2025-11-11,248
cardano,,cardano,Chain,27639799.0,2019-01-01,2469
centrifuge-2,CFG,centrifuge-protocol,RWA,65544820.0,2025-05-21,432
cetus-protocol,CETUS,cetus-clmm,Dexs,101361333.0,2023-05-11,1054
chainflip,FLIP,chainflip-amm,Dexs,22361588.0,2023-11-23,980
chainlink,LINK,chainlink-staking,Services,64290054.0,2019-01-01,2481
chip-2,CHIP,usd-ai,RWA Lending,24480250.04,2026-04-22,121
collector-crypt,CARDS,collector-crypt,Physical TCG,89801333.0,2025-08-30,360
compound-governance-token,COMP,compound-v2|compound-v3,Lending,573632209.0,2020-06-16,1969
convex-finance,CVX,convex-finance,Yield,372811814.0,2021-05-18,1701
cow-protocol,COW,cowswap,DEX Aggregator,67666630.0,2022-03-29,1372
crypto-com-chain,CRO,defi-swap|cronos,Dexs,31314591.0,2019-01-02,2500
curve-dao-token,CRV,curve-dex|crvusd,Dexs,718899394.0,2020-08-14,1876
debridge,DBR,debridge,Bridge,29030698.0,2024-10-17,609
dextools,DEXT,dextools,Coins Tracker,16509636.0,2020-06-11,2089
dodo,DODO,dodo-amm,Dexs,62544415.0,2020-10-01,1953
dogecoin,,doge,Chain,14195654.0,2019-01-01,2457
dolomite,DOLO,dolomite,Lending,18036155.0,2025-04-24,461
doublezero,2Z,doublezero-staked-sol,Liquid Staking,60438134.519999996,2025-10-03,297
drift-protocol,DRIFT,drift-trade|drift-staked-sol,Derivatives,67000956.28,2024-05-17,719
dydx-chain,dYdX,dydx-v4|dydx-v3,Derivatives,98421648.0,2023-11-27,871
echelon-token,ELON,echelon-market,Lending,17317472.0,2026-02-02,209
edgex,EDGE,edgex-perps|edgex-v2,Derivatives,343537318.0,2026-03-31,139
eigenlayer,EIGEN,eigencloud,Restaking,162010182.30999997,2024-10-02,549
ethena,ENA,ethena-usde,Basis Trading,1038576011.4900004,2024-04-03,724
ethereum,,ethereum,Chain,20567157535.0,2019-01-01,2501
ethereum-name-service,ENS,ens,Domains,112621385.0,2021-11-09,1447
etherex,REX,etherex-cl,Dexs,13068939.23,2025-08-07,388
euler,EUL,euler-v2,Lending,87735319.0,2022-06-24,1373
fantom,,fantom,Chain,36553076.63000001,2019-01-01,2495
fjord-foundry,FJO,fjord-v2,Launchpad,13723065.0,2024-04-20,825
flash-trade,FAF,flashtrade,Derivatives,15300007.0,2025-04-17,504
frax-share,FRAX,frax-ether|frax-swap,Liquid Staking,56434264.92,2020-12-21,1830
fulcrom,FUL,fulcrom-perps,Derivatives,15800072.0,2023-04-05,1171
fxn-token,FXN,fx-protocol,Dual-Token Stablecoin,14317433.9,2023-09-30,973
gains-network,GNS,gains-network,Derivatives,61912667.0,2021-11-02,1606
gamma-strategies,GAMMA,gamma,Liquidity Manager,58076787.0,2021-12-27,1264
gearbox,GEAR,gearbox,Lending,22783907.0,2022-12-19,1252
geist-finance,GEIST,geist-finance,Lending,47278805.0,2021-10-07,543
geodnet,GEOD,geodnet,Oracle,11885713.0,2023-09-07,1018
gmx,GMX,gmx-v1-perps|gmx-v2-perps,Derivatives,465489053.0,2021-09-14,1584
godl-2,GODL,godl-protocol,Gamified Mining,14055006.0,2025-12-13,266
goldfinch,GFI,goldfinch,RWA Lending,32767113.489999983,2022-01-11,1537
hash-2,,provenance,Chain,10739367.0,2025-05-30,461
havven,SNX,synthetix-v1+v2,Synthetics,81338627.0,2019-01-01,2471
hawksight,HAWK,hawkfi,Liquidity Manager,49257451.0,2022-04-21,1288
hmx,HMX,hmx,Derivatives,22937567.0,2023-08-08,733
hyperlend,HPL,hyperlend-pooled,Lending,12416731.0,2026-03-04,186
hyperliquid,HYPE,hyperliquid-perps|hyperliquid-spot-orderbook|hyperliquid-l1,Derivatives,1530648193.0,2024-11-29,503
hyperswap,SWAP,hyperswap-v3,Dexs,15439079.54,2025-10-21,315
injective-protocol,,injective,Chain,39016993.0,2020-10-22,1807
instadapp,FLUID,fluid-lending|fluid-dex,Lending,138962621.0,2021-06-17,1696
internet-computer,,icp,Chain,20964296.0,2021-05-11,1628
inverse-finance,INV,inverse-finance-firm,CDP,12615136.0,2021-03-06,1846
jito-governance-token,-,jito-mev-tips|jito-liquid-staking|jito-dao,MEV,1803928785.07,2023-12-08,808
jupiter-exchange-solana,JUP,jupiter-perpetual-exchange|jupiter-aggregator|jupiter-staked-sol|jupiter-lend|jupiter-dca,Derivatives,1091612559.87,2024-02-01,772
just,JST,justlend-v1,Lending,21346672.0,2020-05-08,2011
kiloex,KILO,kiloex,Derivatives,13794862.950000003,2025-03-28,517
kinetiq,KNTQ,kinetiq-khype,Liquid Staking,26958523.0,2025-11-27,282
kodiak-finance,KDK,kodiak-v3,Dexs,10735973.0,2025-12-24,257
ktx-finance,KTC,ktx-perps,Derivatives,27237701.0,2023-06-05,676
kwenta,KWENTA,kwenta,Derivatives,21771837.0,2022-11-18,1058
kyber-network-crystal,KNC,kyberswap-aggregator|kyberswap-elastic,DEX Aggregator,45027467.0,2021-05-19,1705
