gecko_id,tier1,retail,n_tier1_venues,depth_2pct_usd,spread_pct
aave,True,True,4,28006888.456492763,0.069127
across-protocol,True,True,1,184520.8399204358,0.50907
adrena,False,False,0,,
aerodrome-finance,True,True,4,2856140.3166534523,0.096556
aethir,True,True,3,550440.2746790835,0.2148625
ami,True,True,1,162.89550498735073,27.749229
ankr,True,True,4,1853327.7789873732,0.231481
apex-token-2,False,True,0,135867.27417313546,
arbitrum,True,True,4,13191581.170663832,0.0642395
aura-finance,False,False,0,383.1869988159235,
avalanche-2,True,True,4,36667863.93832175,0.027309
avalon-2,False,True,0,19131.497305474953,
avantis,True,True,4,2512498.5699753906,0.0939255
axie-infinity,True,True,4,4706403.607851366,0.120192
balancer,True,True,2,27320.861803590506,0.455373
banana-gun,True,True,1,1997517.8025485873,0.097704
bancor,True,True,4,495248.1782333988,0.394987
bankercoin-2,True,True,2,96866.42766727271,0.1256805
ben-pasternak,False,False,0,12648.986590554261,
benqi,True,True,3,121694.28564695193,0.39093
bifrost-native-coin,True,True,1,4376.207750089251,7.377049
binancecoin,True,True,3,120054777.51195027,0.011637
biswap,False,False,0,2579.2846197309195,
bitcoin,True,True,4,805189397.5858274,0.010051
bitlayer-bitvm,True,True,1,175207.90066282338,0.21890749999999998
blackhole,False,False,0,4132.086011067716,
blast,True,True,1,61356.180443142766,0.716913
bluefin,False,True,0,33557.038972785005,
blur,True,True,4,2697803.8695559436,0.196335
bone-shibaswap,False,False,0,62898.00570786665,
camelot-token,False,False,0,4903.334450465602,
canton-network,True,True,1,2004711.0885238985,0.2237435
cardano,True,True,4,89986667.25032987,0.046682
centrifuge-2,True,True,3,843374.08673288,0.083333
cetus-protocol,True,True,1,421974.5242590623,0.130321
chainflip,False,True,0,33482.57952937995,
chainlink,True,True,4,49935656.17729366,0.0327795
chip-2,True,True,4,1810478.8807908422,0.149935
collector-crypt,False,True,0,98079.7104144094,
compound-governance-token,True,True,4,5699755.623030097,0.142925
convex-finance,True,True,4,2211242.6937474124,0.2021195
cow-protocol,True,True,4,1366547.7416715776,0.152672
crypto-com-chain,True,True,3,2381323.725220736,0.115779
curve-dao-token,True,True,4,54194011.87898402,0.081477
debridge,True,True,3,289551.2553653851,0.066845
dextools,True,True,1,1466.5839799067505,0.520778
dodo,True,True,2,3228675.020136101,0.246785
dogecoin,True,True,4,86968742.83590764,0.022031
dolomite,True,True,1,1971269.6438154392,0.09185750000000001
doublezero,True,True,4,1115984.0160456016,0.156189
drift-protocol,True,True,2,162955.07569001915,0.1982
dydx-chain,True,True,1,2366728.384324281,0.145478
echelon-token,False,False,0,244.5913694383725,
edgex,True,True,2,596338.4720768743,0.148825
eigenlayer,True,True,4,5994631.7161509115,0.0807515
ethena,True,True,4,24660647.02481548,0.061633
ethereum-name-service,True,True,4,6282210.842803736,0.2545245
ethereum,True,True,3,447137024.0335268,0.010401
etherex,False,False,0,3886.8384615480572,
euler,True,True,3,511949.63443919836,0.12146699999999999
fantom,False,False,0,,
fjord-foundry,False,False,0,,
flash-trade,False,False,0,1765.1873693342882,
frax-share,True,True,2,142929.84414544835,0.168669
fulcrom,False,True,0,18469.130528475715,
fxn-token,False,False,0,55122.60712192112,
gains-network,True,True,2,58258.30290277162,0.7075075
gamma-strategies,False,False,0,,
gearbox,False,False,0,7731.945542057041,
geist-finance,False,False,0,,
geodnet,True,True,1,67811.76444027275,0.21978
gmx,True,True,3,742079.1838790282,0.4394615
godl-2,False,False,0,1212.308574442617,
goldfinch,True,True,2,1653.6539646891838,1.706485
hash-2,False,False,0,203.86111775576444,
havven,True,True,4,2984098.6099631945,0.09927749999999999
hawksight,False,False,0,,
hmx,False,False,0,,
hyperlend,False,False,0,2247.093306175955,
hyperliquid,True,True,3,20536221.39925511,0.012129000000000001
hyperswap,False,False,0,8446.176547594172,
injective-protocol,True,True,4,15429586.245244607,0.0928095
instadapp,True,True,1,315859.6638750791,0.311284
internet-computer,True,True,4,12633230.66933815,0.07837
inverse-finance,True,True,1,48995.985972550894,0.761697
jito-governance-token,True,True,4,7494773.944550397,0.09214
jupiter-exchange-solana,True,True,4,8124147.62031918,0.0979585
just,True,True,2,4975897.417445844,0.188116
kiloex,False,False,0,4505.089084992853,
kinetiq,True,True,1,91900.06985073563,0.8849165
kodiak-finance,False,False,0,12170.687009274734,
ktx-finance,False,False,0,,
kwenta,False,False,0,,
kyber-network-crystal,True,True,4,2957997.1347686523,0.315457
lab,False,True,0,220257.99503000168,
layerzero,True,True,4,21046472.960913602,0.143546
level,False,False,0,398.8059638937115,
lido-dao,True,True,4,7203391.89830969,0.0978425
lifinity,False,False,0,142.282873697873,
lighter,True,True,2,3796593.8484203476,0.19423200000000002
limitless-3,True,True,1,60467.04067591986,0.235915
liquity,True,True,3,3103655.7108738683,0.38961
lista,True,True,2,1831510.5519378984,0.2609955
looksrare,False,False,0,83.12632213963965,
looter,False,False,0,,
lynex,False,False,0,816.9130380762313,
mantle,True,True,2,3266042.9874135074,0.0642005
mcdex,False,False,0,11295.069523307979,
metaplex,True,True,1,243371.4238961572,0.123801
meteora,True,True,3,1000937.4657351547,0.300752
meth-protocol,False,True,0,5038.370662226145,
metronome,False,False,0,,
momentum-3,True,True,1,878414.1414071347,0.117647
moonwell-artemis,True,True,3,29818.54751954406,0.6316329999999999
morpho,True,True,4,5188231.387290026,0.110282
navi,False,True,0,37296.46948822921,
near,True,True,4,33126358.162995756,0.058809
nxm,False,False,0,,
ondo-finance,True,True,4,15610522.375531757,0.03338
opinion,True,True,1,432090.56917411025,0.175747
optimism,True,True,4,10086108.466213496,0.09320149999999999
orca,True,True,4,945411.5607506156,0.252313
orderly-network,True,True,1,138470.05455897315,1.931849
ore,False,False,0,17857.65920619416,
osmosis,True,True,4,140399.91383487944,0.501603
paal-ai,False,True,0,3211.104481593746,
pancakeswap-token,True,True,4,6556049.071805169,0.128866
pangolin,True,True,1,11001.88446694885,0.750395
paradex,False,False,0,,
pendle,True,True,4,11328696.466889588,0.094787
penpie,False,False,0,2073.7339891943884,
pharaoh-2,False,False,0,12983.730669963476,
polygon-ecosystem-token,True,True,4,39796978.059333675,0.0840255
puffer-finance,True,True,2,86641.81811264937,1.354498
pulsex,False,False,0,120805.42940744974,
pump-fun,True,True,4,8592486.85088249,0.045331
quickswap,True,True,1,1825886.5401178792,0.322581
radiant-capital,False,False,0,3637.5284091914355,
railgun,False,False,0,154673.54737085768,
raydium,True,True,4,5873327.769436965,0.129271
renzo,True,True,4,2755033.9402858056,0.0934
reserve-rights-token,True,True,4,3759778.685899171,0.111076
resolv,True,True,1,2332900.65112494,0.16269
rocket-pool,True,True,4,27625291.41655811,0.321101
sanctum-2,True,True,1,27415.82716510956,1.133144
save,False,False,0,973.1813816126528,
scallop-2,False,True,0,2197.405750178752,
scroll,True,True,2,537717.9432350674,0.177148
shadow-2,False,False,0,2821.909146715115,
sideshift-token,False,False,0,,
silo-finance-2,False,False,0,,
solana,True,True,4,244305938.31584486,0.019229000000000003
solayer,True,True,3,2015040.1373563856,0.28019099999999997
solblaze,False,False,0,206.55493533573883,
soltradingbot,False,False,0,,
solv-protocol,True,True,3,1073361.4615118187,0.302696
sosovalue,True,True,1,149428.00400518143,0.096993
spark-2,True,True,4,2014256.937238278,0.192308
spell-token,True,True,3,1598208.3511990034,0.230947
spookyswap,False,False,0,816.5999978300235,
stader,True,True,1,44219.08291454597,0.654129
stake-link,False,False,0,8319.140419401634,
stakewise,False,False,0,10035.070408794283,
stargate-finance,True,True,3,442300.72534732794,0.1514235
starknet,True,True,4,5035886.889727633,0.067935
ston-2,False,False,0,22523.62252158945,
stride,False,False,0,277.6657229841132,
sui,True,True,4,39120086.73175187,0.024538
suilend,False,False,0,522.1363248556657,
sun-token,True,True,2,4678085.6139840325,0.464877
sushi,True,True,4,2437931.9341995027,0.132485
swell-network,True,True,3,74375.59581776416,0.722631
synapse-2,True,True,3,2383475.8325302135,0.152864
synfutures,True,True,2,398312.4383356842,0.175224
syrup,True,True,4,5220197.379106233,0.04344
tezos,True,True,4,2959785.1346459202,0.166389
the-open-network,True,True,3,7885797.577303408,0.143472
thena,True,True,2,352957.9960456517,0.134409
thorchain,True,True,3,2943609.233612136,0.205761
tokenlon,False,False,0,60994.888082718084,
tron,True,True,3,98284910.20238867,0.029446
trust-wallet-token,True,True,2,38476350.85536099,0.2175495
unibot,False,False,0,16323.289271401516,
unicrypt-2,False,False,0,,
uniswap,True,True,4,29775259.36152838,0.0494295
usdx-money-usdx,False,False,0,,
usual,True,True,2,1651759.8279189246,0.166806
vault-2,False,False,0,1555.8425921125154,
velodrome-finance,True,True,3,396282.40506771783,0.42569599999999996
velora,False,False,0,1687.4493446810889,
vertex-protocol,False,False,0,,
virtual-protocol,True,True,4,6362501.660335378,0.140489
vvs-finance,False,True,0,664504.6383999115,
wigoswap,False,False,0,,
world-liberty-financial,True,True,3,6902721.0366711095,0.177936
yearn-finance,True,True,4,3224314.3128464003,0.188045
yei-finance,False,True,0,59487.15734221308,
yolo-games,False,False,0,,
zksync,True,True,4,4465710.692436388,0.18539450000000002
zora,True,True,2,1659555.5853469355,0.09187
