wallet,wallet_full,n_pre_events,n_trades_pre,pct_events,avg_lead_h,avg_entry,avg_discount,avg_move,domain_hhi,top_domain
0x1cdd071bb612de6d66…,0x1cdd071bb612de6d66d0c882b676c663697de595,4,15,16.0,8.3,0.511,0.407,0.353,0.556,other
0x10b289276b2b69cac7…,0x10b289276b2b69cac7b1bbc58601009b6ee74ceb,4,31,16.0,13.2,0.32,0.577,0.57,0.563,politics
0xa6b7ebd5ce137c3b5d…,0xa6b7ebd5ce137c3b5d56f896a52eba71702bd5f3,3,4,12.0,4.4,0.867,0.133,0.707,0.625,politics
0xe9076a87c5ed90ef16…,0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,3,193,12.0,6.9,0.622,0.373,0.365,0.814,other
0xbaa2bcb5439e985ce4…,0xbaa2bcb5439e985ce4ccf815b4700027d1b92c73,3,10,12.0,10.7,0.701,0.153,0.67,1.0,politics
0x1b4cc1e424c8cf8fd4…,0x1b4cc1e424c8cf8fd4b01fd5f910f82797f0d6a2,3,4,12.0,11.4,0.364,0.332,0.501,1.0,politics
0x6413bd26ffa5fcca38…,0x6413bd26ffa5fcca38b93e4e5b8f3303ca32ab24,3,7,12.0,12.3,0.613,-0.052,0.427,1.0,politics
0x2637aa568f566ed850…,0x2637aa568f566ed850650bb757d072c3055926e1,3,5,12.0,15.0,0.676,0.226,0.603,0.68,politics
0xd677672c3995d47918…,0xd677672c3995d47918d8ec013abca5138841a495,3,5,12.0,17.8,0.709,-0.005,0.522,1.0,politics
0x1fcc97d92bccec98ab…,0x1fcc97d92bccec98ab57be7f286c94425d77701b,3,10,12.0,18.8,0.496,0.414,0.71,1.0,politics
0x6e4976c274384ada57…,0x6e4976c274384ada57ae03b75e463585ad01f1af,3,13,12.0,23.1,0.568,0.323,0.621,1.0,politics
0x3803425eddbabb679c…,0x3803425eddbabb679c44c84470e05e9498917eaf,2,3,8.0,0.7,0.067,0.933,0.261,1.0,other
0x46f7bab597b69fa846…,0x46f7bab597b69fa846c3c89e0f8803d7423e0f92,2,5,8.0,0.8,0.074,0.925,0.274,1.0,other
0x2c46ffe86ee500875d…,0x2c46ffe86ee500875db3c679e52f6e64854cdac9,2,2,8.0,0.8,0.846,0.153,0.294,1.0,other
0xc23dc0eca9e1c2e293…,0xc23dc0eca9e1c2e293de8911b9ac254f0bcd82c8,2,2,8.0,0.8,0.98,0.02,0.294,1.0,other
0x2a69660046d7acc4ab…,0x2a69660046d7acc4ab204d7cc5ba78b0776cd2f7,2,9,8.0,0.9,0.207,0.793,0.261,1.0,other
0xd218e474776403a330…,0xd218e474776403a330142299f7796e8ba32eb5c9,2,12,8.0,1.1,0.483,0.517,0.261,1.0,other
0x0346afae2603313d2b…,0x0346afae2603313d2bbee96b628536c8cbe352a5,2,13,8.0,1.1,0.308,0.691,0.271,1.0,other
0x7409de7b7fa57fb9b5…,0x7409de7b7fa57fb9b508aadd987841ff8a0665a6,2,12,8.0,1.2,0.766,0.233,0.261,1.0,other
0x872d1f9b681a5c40ca…,0x872d1f9b681a5c40cab898fb31a2921927007f39,2,4,8.0,1.2,0.656,0.343,0.244,1.0,other
0x551c8f09fffa548899…,0x551c8f09fffa54889974a101e2af2b92c13dfe91,2,6,8.0,1.2,0.71,0.29,0.228,1.0,other
0x82e79f4f417e009b8a…,0x82e79f4f417e009b8a64679472a184d7d701c61c,2,5,8.0,1.2,0.846,0.154,0.234,1.0,other
0x1a2f67124f12eaa88b…,0x1a2f67124f12eaa88be0f6683a95abede555647a,2,5,8.0,1.2,0.65,0.35,0.234,1.0,other
0xa62373e4098417a42d…,0xa62373e4098417a42d666da61338dcc69e0fa4fe,2,12,8.0,1.2,0.452,0.548,0.261,1.0,other
0x0194effee159537f01…,0x0194effee159537f01de0543a24c23238882e3c5,2,2,8.0,1.2,0.735,0.265,0.294,1.0,other
0xdc8634e3191aa4be38…,0xdc8634e3191aa4be3868b17d9ef8ba9c58537e77,2,3,8.0,1.2,0.64,0.36,0.328,1.0,other
0xb8c6a4b9f29aa167f5…,0xb8c6a4b9f29aa167f54ca2ad424a2c13f2117b39,2,2,8.0,1.2,0.64,0.36,0.294,1.0,other
0xd1ed12197b7dc22ded…,0xd1ed12197b7dc22dede923727e9b714024dbd7cb,2,15,8.0,1.3,0.683,0.316,0.261,1.0,other
0x1b44945f8992fcea2b…,0x1b44945f8992fcea2b43034557e47d11827fd8de,2,3,8.0,1.3,0.723,0.276,0.261,1.0,other
0xfd91d04e1f890783f2…,0xfd91d04e1f890783f2ad31935b7d640c4f02b49a,2,2,8.0,1.3,0.885,0.115,0.294,1.0,other
0x7fea691e28d169a33c…,0x7fea691e28d169a33c500607279f2acb49058f74,2,14,8.0,1.3,0.434,0.566,0.309,1.0,other
0x18a460ad85afd38a62…,0x18a460ad85afd38a627960295c6ad6f2cd533a31,2,18,8.0,1.3,0.451,0.549,0.283,1.0,other
0x159799fcd583b2eadf…,0x159799fcd583b2eadf01f8d7e76de8dd36076ede,2,3,8.0,1.3,0.39,0.61,0.261,1.0,other
0x3e591ae11c10733179…,0x3e591ae11c107331790396ab098f339561212a66,2,3,8.0,1.3,0.403,0.596,0.261,1.0,other
