token,condition_id,question,leg,entry_date,entry_price,res_date,outcome,volume,trade_return
112877528856520353482564013140192892989789924402291080053780222025421703201106,0x57d84abe570ed54c362a54e5a77489fa051c3e0d0cdfeae36148e244668bf403,Israel strike on Iranian nuclear facility in 2024?,no,2024-11-16,0.1105,2024-12-31 12:00:00.000,0.0,10075557.869042,-1.0
21862621641339836174497511094063892750017129328914984752742038084309716186124,0xa5501b4dc0c99c382b1c2871ad9141c7f58509a0f962f70a38bb6566ec570049,Will Spain win on 2026-06-15?,no,2026-06-05,0.11499999999999999,2026-06-15 16:00:00.000,1.0,21209383.43092772,7.695652173913045
12683524285321035959197225276771871845858392912886591325119577507755683407691,0xf9f0965a3bd704ad9c184851242606ad35a4ffe733febf5074d4fbcc59d52eb8,"US x Iran diplomatic meeting by April 30, 2026?",no,2026-04-21,0.11499999999999999,2026-04-30 00:00:00.000,1.0,5536436.057733946,7.695652173913045
111705684490190589592295984660493450220439325137748085761024325650578405176223,0x20fe4b037a1dc0578b0d125b0b427a06d8666068e8b901b1c181e82bc844c45d,Will Lee Jun-seok win 3rd place in the South Korean presidential election?,no,2025-05-25,0.11499999999999999,2025-06-03 12:00:00.000,0.0,4882739.177934,-1.0
90795003928079516235859079444877553202729720395078916533928922369423847876930,0x90d15ca9a35a0cef4d67b2e4ec79a77dc98621536af438bccc6f016a59eb0f39,Will the government shutdown last 4 days or more?,no,2026-02-01,0.11499999999999999,2026-03-31 00:00:00.000,0.0,4389035.691402,-1.0
104302892772638837333710510023821201665416432071049864829496654361618497527919,0x4997c22d314ed5e9f3712e46eb4847441b51fa730d10ad26240afa85f5d902be,Will the Iran ceasefire continue through May 22?,no,2026-05-21,0.11499999999999999,2026-05-21 00:00:00.000,0.0,9281356.548808977,-1.0
61126256121703664410312290595141090694867643897263015030941740701547651600158,0xf43e04b0ede60be1bd19d17e2cd9a7e52709b667e9f0bebbef34e3e8c53a6ff3,Will RFK Jr. drop out by Friday?,no,2024-08-23,0.11499999999999999,2024-08-23 12:00:00.000,0.0,9659775.26,-1.0
87131883634563540067671221116339643844999308263887623932581338240758165480193,0xb13e67e43f3ea7015f472f56660e58fb41e761c0dee63862b379feefafb6efbe,Pakistan military strike on India by Friday?,no,2025-05-07,0.11599999999999999,2025-05-09 12:00:00.000,0.0,17133334.887141,-1.0
65495021057576725387867491047169415099438906838157989123813367031580471204029,0xc470b43a8bf0a938e9b17d1ff01b5c52b1cfbc5c352ce96dded8b4e5d5e40997,Will Tô Lâm be the next President of Vietnam?,no,2026-03-19,0.12,2026-03-19 00:00:00.000,0.0,4348032.177655002,-1.0
36015544153030727250158185609377492281773033458418710841306768932509083478086,0x547ef94db08a64532c8e8a57a90a5e680ee775e9e9c790ac092cad123a051ad6,Monad market cap (FDV) >$2B one day after launch?,no,2025-11-20,0.1235,2026-06-30 00:00:00.000,0.0,7362833.34727,-1.0
