token,condition_id,question,leg,entry_date,entry_price,res_date,outcome,volume,trade_return
6516247219552728703694288089095505745087341917196574102768180597707063347136,0x5e5482b1e2afa7bed0b9a0c3c8ad33a83dd6cc6d649666cdf1977be64c42c82a,Epstein suicide note released by May 8?,yes,2026-05-07,0.11,2026-05-31 00:00:00.000,0.0,14180619.718706006,-1.0
84759855875787376013070966191829270380532139665613953557972586200540529795281,0x9c9c47de9c871b6cfbae8956f3586f09ae131c44f73e478bc824c106489dd930,2024 presidential election: Democrats win by 0-4,yes,2024-11-03,0.11,2024-11-04 12:00:00.000,0.0,5777920.118906,-1.0
23782335180841208231058001004578375287996250697612804494041169574240179552024,0xe57fce6d333b67f7fb948464a393689ef410fe70dbded0f2f8bce59ffb205355,"US strikes Iran by February 22, 2026?",yes,2026-02-17,0.11,2026-02-17 00:00:00.000,0.0,12611170.017129,-1.0
110552230042207377373769436375815103661291329913875427644565116020841414815329,0xd8664606498aba2a8ccab56656860cb3f02d74de80e974ab87a9f940e65d4d5e,Israel closes its airspace by June 15?,yes,2026-06-06,0.11,2026-06-15 00:00:00.000,0.0,5651393.65295098,-1.0
81787581842959478106686478412092867548627543992356819047601036246939457346128,0x90009677cbc0d30cccc751bb44452d89ae7d6e029014e59ce0b4ed70d002fd92,Xi meets with Iranian officials by May 15?,yes,2026-05-06,0.11,2026-05-15 00:00:00.000,0.0,4654334.811963998,-1.0
6308246834299809644599996350028819065720794060706840760707195752509814012860,0xee483d462c5ef89bfb5e7662abb62714354a0f6f3a6c6c0df74933607ae9b81b,"Will Bitcoin dip to $55,000 in February?",yes,2026-02-19,0.1105,2026-03-01 05:00:00.000,0.0,7296072.016791,-1.0
105953956915150002522974165882693825582092111865946642103065245868242929489995,0x2a496f947e51993cdb4af43c8dd851780a8bac86c06cd7ad5dcd5741f46ce843,Will Jake Paul vs. Anthony Joshua have no official winner?,yes,2025-12-13,0.11199999999999999,2025-12-19 00:00:00.000,0.0,15085502.841227,-1.0
7988364699307342268260495915445731509602502693363579435248273813409237524599,0x6c3d5fba5442f3e725eb89b7cffcc341ca3105cddaac09c1e4bc8e7010f0fe40,Fed decreases interest rates by 50+ bps after September 2025 meeting?,yes,2025-09-07,0.11449999999999999,2025-09-17 12:00:00.000,0.0,49890284.071409,-1.0
107259278816298402654822103861927486042412499982187590917424237525323082866574,0xc4a229b06046a4a30d9b5cd73fc6364f6b7cdc48efc33bfc6b24a2806aa93f30,Will IR Iran win on 2026-06-21?,yes,2026-06-11,0.11499999999999999,2026-06-21 19:00:00.000,0.0,5451862.159343886,-1.0
47060861968389645577251408086188258199430417779776802737050665875266354301946,0x52a5ce595e0f0816e17e5f40dbd5967c88beb4b9f21000bfdd9a1ff26c281fdd,Will Real Madrid win the 2025–26 Champions League?,yes,2026-03-29,0.11499999999999999,2026-05-31 00:00:00.000,0.0,5281076.39409185,-1.0
