question,horizon_d,price,outcome
Will Donald Trump win the 2024 US Presidential Ele,7,0.6655,1.0
Will Donald Trump win the 2024 US Presidential Ele,5,0.6325,1.0
Will Donald Trump win the 2024 US Presidential Ele,3,0.5585,1.0
Will Donald Trump win the 2024 US Presidential Ele,2,0.5635,1.0
Will Donald Trump win the 2024 US Presidential Ele,1,0.5855,1.0
Will Kamala Harris win the 2024 US Presidential El,7,0.3345,0.0
Will Kamala Harris win the 2024 US Presidential El,5,0.368,0.0
Will Kamala Harris win the 2024 US Presidential El,3,0.4415,0.0
Will Kamala Harris win the 2024 US Presidential El,2,0.435,0.0
Will Kamala Harris win the 2024 US Presidential El,1,0.4145,0.0
Will Donald Trump be inaugurated?,7,0.9935,1.0
Will Donald Trump be inaugurated?,5,0.9935,1.0
Will Donald Trump be inaugurated?,3,0.9945,1.0
Will Donald Trump be inaugurated?,2,0.992,1.0
Will Donald Trump be inaugurated?,1,0.9915,1.0
Will the Sacramento Kings win the 2025 NBA Finals?,7,0.0005,0.0
Will the Sacramento Kings win the 2025 NBA Finals?,5,0.0005,0.0
Will the Sacramento Kings win the 2025 NBA Finals?,3,0.0005,0.0
Will the Sacramento Kings win the 2025 NBA Finals?,2,0.0005,0.0
Will the Sacramento Kings win the 2025 NBA Finals?,1,0.0005,0.0
"MicroStrategy sells any Bitcoin by May 31, 2026?",7,0.0705,0.0
"MicroStrategy sells any Bitcoin by May 31, 2026?",5,0.256,0.0
"MicroStrategy sells any Bitcoin by May 31, 2026?",3,0.123,0.0
"MicroStrategy sells any Bitcoin by May 31, 2026?",2,0.0065,0.0
"MicroStrategy sells any Bitcoin by May 31, 2026?",1,0.0085,0.0
Will Nicolae Ciucă win the 2024 Romanian President,7,0.0015,0.0
Will Nicolae Ciucă win the 2024 Romanian President,5,0.0015,0.0
Will Nicolae Ciucă win the 2024 Romanian President,3,0.0015,0.0
Will Nicolae Ciucă win the 2024 Romanian President,2,0.0015,0.0
Will Nicolae Ciucă win the 2024 Romanian President,1,0.0015,0.0
US forces enter Iran by April 30?,7,0.585,1.0
US forces enter Iran by April 30?,5,0.585,1.0
US forces enter Iran by April 30?,3,0.915,1.0
US forces enter Iran by April 30?,2,0.915,1.0
US forces enter Iran by April 30?,1,0.915,1.0
Will Zelenskyy wear a suit before July?,7,0.0095,0.0
Will Zelenskyy wear a suit before July?,5,0.022,0.0
Will Zelenskyy wear a suit before July?,3,0.0125,0.0
Will Zelenskyy wear a suit before July?,2,0.025,0.0
Will Zelenskyy wear a suit before July?,1,0.032,0.0
Will any other Republican Politician win the 2024 ,7,0.0005,0.0
Will any other Republican Politician win the 2024 ,5,0.0005,0.0
Will any other Republican Politician win the 2024 ,3,0.0005,0.0
Will any other Republican Politician win the 2024 ,2,0.0005,0.0
Will any other Republican Politician win the 2024 ,1,0.0005,0.0
Fed decreases interest rates by 50+ bps after Janu,7,0.0015,0.0
Fed decreases interest rates by 50+ bps after Janu,5,0.0015,0.0
Fed decreases interest rates by 50+ bps after Janu,3,0.0005,0.0
Fed decreases interest rates by 50+ bps after Janu,2,0.0005,0.0
Fed decreases interest rates by 50+ bps after Janu,1,0.0005,0.0
Fed increases interest rates by 25+ bps after Janu,7,0.0005,0.0
Fed increases interest rates by 25+ bps after Janu,5,0.0005,0.0
Fed increases interest rates by 25+ bps after Janu,3,0.0005,0.0
Fed increases interest rates by 25+ bps after Janu,2,0.0005,0.0
Fed increases interest rates by 25+ bps after Janu,1,0.0015,0.0
"US x Iran ceasefire extended by April 22, 2026?",7,0.0015,0.0
"US x Iran ceasefire extended by April 22, 2026?",5,0.0005,0.0
"US x Iran ceasefire extended by April 22, 2026?",3,0.0025,0.0
"US x Iran ceasefire extended by April 22, 2026?",2,0.0035,0.0
"US x Iran ceasefire extended by April 22, 2026?",1,0.0025,0.0
"US x Iran permanent peace deal by June 15, 2026?",7,0.039,1.0
"US x Iran permanent peace deal by June 15, 2026?",5,0.175,1.0
"US x Iran permanent peace deal by June 15, 2026?",3,0.8155,1.0
"US x Iran permanent peace deal by June 15, 2026?",2,0.9585,1.0
"US x Iran permanent peace deal by June 15, 2026?",1,0.9945,1.0
US x Iran ceasefire by April 7?,7,0.105,1.0
US x Iran ceasefire by April 7?,5,0.105,1.0
US x Iran ceasefire by April 7?,3,0.105,1.0
US x Iran ceasefire by April 7?,2,0.105,1.0
US x Iran ceasefire by April 7?,1,0.105,1.0
Will the Fed increase interest rates by 25+ bps af,7,0.0025,0.0
Will the Fed increase interest rates by 25+ bps af,5,0.0015,0.0
Will the Fed increase interest rates by 25+ bps af,3,0.0015,0.0
Will the Fed increase interest rates by 25+ bps af,2,0.0015,0.0
Will the Fed increase interest rates by 25+ bps af,1,0.0005,0.0
Kamala Harris wins the popular vote?,7,0.7265,0.0
Kamala Harris wins the popular vote?,5,0.001,0.0
Kamala Harris wins the popular vote?,3,0.0025,0.0
Kamala Harris wins the popular vote?,2,0.003,0.0
Kamala Harris wins the popular vote?,1,0.002,0.0
Fed decreases interest rates by 50+ bps after Dece,7,0.0075,0.0
Fed decreases interest rates by 50+ bps after Dece,5,0.0045,0.0
Fed decreases interest rates by 50+ bps after Dece,3,0.0065,0.0
Fed decreases interest rates by 50+ bps after Dece,2,0.0065,0.0
Fed decreases interest rates by 50+ bps after Dece,1,0.008,0.0
US government shutdown Saturday?,7,0.725,1.0
US government shutdown Saturday?,5,0.41,1.0
US government shutdown Saturday?,3,0.9955,1.0
US government shutdown Saturday?,2,0.9975,1.0
US government shutdown Saturday?,1,0.9975,1.0
Will the Toronto Raptors win the 2025 NBA Finals?,7,0.0005,0.0
Will the Toronto Raptors win the 2025 NBA Finals?,5,0.0005,0.0
Will the Toronto Raptors win the 2025 NBA Finals?,3,0.0005,0.0
Will the Toronto Raptors win the 2025 NBA Finals?,2,0.0005,0.0
Will the Toronto Raptors win the 2025 NBA Finals?,1,0.0005,0.0
Will Michelle Obama win the 2024 US Presidential E,7,0.0005,0.0
Will Michelle Obama win the 2024 US Presidential E,5,0.0005,0.0
Will Michelle Obama win the 2024 US Presidential E,3,0.0005,0.0
Will Michelle Obama win the 2024 US Presidential E,2,0.0005,0.0
Will Michelle Obama win the 2024 US Presidential E,1,0.0005,0.0
Will Zohran Mamdani win the 2025 NYC mayoral elect,7,0.8825,1.0
Will Zohran Mamdani win the 2025 NYC mayoral elect,5,0.9415,1.0
Will Zohran Mamdani win the 2025 NYC mayoral elect,3,0.9345,1.0
Will Zohran Mamdani win the 2025 NYC mayoral elect,2,0.9375,1.0
Will Zohran Mamdani win the 2025 NYC mayoral elect,1,0.9095,1.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,7,0.0005,0.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,5,0.0005,0.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,3,0.0005,0.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,2,0.0005,0.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,1,0.0005,0.0
"Russia x Ukraine ceasefire by May 31, 2026?",7,0.09,1.0
"Russia x Ukraine ceasefire by May 31, 2026?",5,0.0625,1.0
"Russia x Ukraine ceasefire by May 31, 2026?",3,0.0605,1.0
"Russia x Ukraine ceasefire by May 31, 2026?",2,0.0555,1.0
"Russia x Ukraine ceasefire by May 31, 2026?",1,0.042,1.0
Will the Panthers win Super Bowl 2025?,7,0.0005,0.0
Will the Panthers win Super Bowl 2025?,5,0.0005,0.0
Will the Panthers win Super Bowl 2025?,3,0.0005,0.0
Will the Panthers win Super Bowl 2025?,2,0.0015,0.0
Will the Panthers win Super Bowl 2025?,1,0.0005,0.0
Fed increases interest rates by 25+ bps after Nove,7,0.002,0.0
Fed increases interest rates by 25+ bps after Nove,5,0.0015,0.0
Fed increases interest rates by 25+ bps after Nove,3,0.0015,0.0
Fed increases interest rates by 25+ bps after Nove,2,0.002,0.0
Fed increases interest rates by 25+ bps after Nove,1,0.0035,0.0
Fed increases interest rates by 25+ bps after Dece,7,0.0025,0.0
Fed increases interest rates by 25+ bps after Dece,5,0.0015,0.0
Fed increases interest rates by 25+ bps after Dece,3,0.0015,0.0
Fed increases interest rates by 25+ bps after Dece,2,0.0005,0.0
Fed increases interest rates by 25+ bps after Dece,1,0.0005,0.0
Will Aston Villa win the UEFA Champions League?,7,0.0275,0.0
Will Aston Villa win the UEFA Champions League?,5,0.0075,0.0
Will Aston Villa win the UEFA Champions League?,3,0.0075,0.0
Will Aston Villa win the UEFA Champions League?,2,0.013,0.0
Will Aston Villa win the UEFA Champions League?,1,0.012,0.0
Khamenei out as Supreme Leader of Iran by February,7,0.0185,1.0
Khamenei out as Supreme Leader of Iran by February,5,0.0155,1.0
Khamenei out as Supreme Leader of Iran by February,3,0.9525,1.0
Khamenei out as Supreme Leader of Iran by February,2,0.9985,1.0
Khamenei out as Supreme Leader of Iran by February,1,0.9985,1.0
Will the Washington Wizards win the 2025 NBA Final,7,0.0015,0.0
Will the Washington Wizards win the 2025 NBA Final,5,0.0015,0.0
Will the Washington Wizards win the 2025 NBA Final,3,0.0015,0.0
Will the Washington Wizards win the 2025 NBA Final,2,0.0015,0.0
Will the Washington Wizards win the 2025 NBA Final,1,0.0015,0.0
Will the Utah Jazz win the 2025 NBA Finals?,7,0.0015,0.0
Will the Utah Jazz win the 2025 NBA Finals?,5,0.0015,0.0
Will the Utah Jazz win the 2025 NBA Finals?,3,0.0015,0.0
Will the Utah Jazz win the 2025 NBA Finals?,2,0.0015,0.0
Will the Utah Jazz win the 2025 NBA Finals?,1,0.0015,0.0
Will Trump nominate Judy Shelton as the next Fed c,7,0.0335,0.0
Will Trump nominate Judy Shelton as the next Fed c,5,0.0395,0.0
Will Trump nominate Judy Shelton as the next Fed c,3,0.054,0.0
Will Trump nominate Judy Shelton as the next Fed c,2,0.037,0.0
Will Trump nominate Judy Shelton as the next Fed c,1,0.0405,0.0
Will the Raiders win Super Bowl 2025?,7,0.0035,0.0
Will the Raiders win Super Bowl 2025?,5,0.0035,0.0
Will the Raiders win Super Bowl 2025?,3,0.0035,0.0
Will the Raiders win Super Bowl 2025?,2,0.0035,0.0
Will the Raiders win Super Bowl 2025?,1,0.0035,0.0
Will Donald Trump win the popular vote in the 2024,7,0.2565,1.0
Will Donald Trump win the popular vote in the 2024,5,0.2855,1.0
Will Donald Trump win the popular vote in the 2024,3,0.9975,1.0
Will Donald Trump win the popular vote in the 2024,2,0.9935,1.0
Will Donald Trump win the popular vote in the 2024,1,0.995,1.0
TikTok banned in the US before May 2025?,7,0.63,1.0
TikTok banned in the US before May 2025?,5,0.63,1.0
