question,horizon_d,p_price,p_flow,outcome
Will the Sacramento Kings win the 2025 NBA Finals?,7,0.0005,0.0008017469295723693,0.0
Will the Sacramento Kings win the 2025 NBA Finals?,5,0.0005,0.0008857022317304683,0.0
Will the Sacramento Kings win the 2025 NBA Finals?,3,0.0005,0.0009189825414565151,0.0
Will the Sacramento Kings win the 2025 NBA Finals?,2,0.0005,0.0010845116910802289,0.0
Will the Sacramento Kings win the 2025 NBA Finals?,1,0.0005,0.0011190509286606752,0.0
Will Nicolae Ciucă win the 2024 Romanian President,7,0.0015,0.5370686134518156,0.0
Will Nicolae Ciucă win the 2024 Romanian President,5,0.0015,0.6099594115735186,0.0
Will Nicolae Ciucă win the 2024 Romanian President,3,0.0015,0.5703084735637078,0.0
Will Nicolae Ciucă win the 2024 Romanian President,2,0.0015,0.5492374506146034,0.0
Will Nicolae Ciucă win the 2024 Romanian President,1,0.0015,0.5433342985203696,0.0
Will any other Republican Politician win the 2024 ,7,0.0005,0.06028269032002864,0.0
Will any other Republican Politician win the 2024 ,5,0.0005,0.06170995834104617,0.0
Will any other Republican Politician win the 2024 ,3,0.0005,0.06559434199234078,0.0
Will any other Republican Politician win the 2024 ,2,0.0005,0.06568931288391647,0.0
Will any other Republican Politician win the 2024 ,1,0.0005,0.06610542040799626,0.0
Fed decreases interest rates by 50+ bps after Janu,1,0.0005,0.004689086904027919,0.0
Fed increases interest rates by 25+ bps after Janu,3,0.0005,1.0,0.0
Fed increases interest rates by 25+ bps after Janu,2,0.0005,1.0,0.0
Fed increases interest rates by 25+ bps after Janu,1,0.0015,0.024732614230993433,0.0
"US x Iran ceasefire extended by April 22, 2026?",1,0.0025,0.014846508632200233,0.0
Will the Fed increase interest rates by 25+ bps af,3,0.0015,0.0019449440020387289,0.0
Will the Fed increase interest rates by 25+ bps af,2,0.0015,0.001966910417350137,0.0
Will the Fed increase interest rates by 25+ bps af,1,0.0005,0.002338597695568955,0.0
Kamala Harris wins the popular vote?,5,0.001,0.1260540061847253,0.0
Kamala Harris wins the popular vote?,3,0.0025,0.12821158547351205,0.0
Kamala Harris wins the popular vote?,2,0.003,0.1234074722481659,0.0
Kamala Harris wins the popular vote?,1,0.002,0.119754589547922,0.0
US government shutdown Saturday?,1,0.9975,0.9915581058646388,1.0
Will the Toronto Raptors win the 2025 NBA Finals?,7,0.0005,0.0006960958190618714,0.0
Will the Toronto Raptors win the 2025 NBA Finals?,5,0.0005,0.0007127752499383835,0.0
Will the Toronto Raptors win the 2025 NBA Finals?,3,0.0005,0.0007464693713304246,0.0
Will the Toronto Raptors win the 2025 NBA Finals?,2,0.0005,0.0007498723512555942,0.0
Will the Toronto Raptors win the 2025 NBA Finals?,1,0.0005,0.0007566108569746372,0.0
Will Michelle Obama win the 2024 US Presidential E,7,0.0005,0.04934160738650538,0.0
Will Michelle Obama win the 2024 US Presidential E,5,0.0005,0.05568557905114988,0.0
Will Michelle Obama win the 2024 US Presidential E,3,0.0005,0.05593075132666553,0.0
Will Michelle Obama win the 2024 US Presidential E,2,0.0005,0.055970000620481894,0.0
Will Michelle Obama win the 2024 US Presidential E,1,0.0005,0.056225746086493056,0.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,7,0.0005,0.003325702780765605,0.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,5,0.0005,0.003744223218885069,0.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,3,0.0005,0.004373353222409511,0.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,2,0.0005,0.0047803489163095614,0.0
Will Robert F. Kennedy Jr. win the 2024 US Preside,1,0.0005,0.007450054421315566,0.0
Will the Panthers win Super Bowl 2025?,7,0.0005,0.0001004226796524291,0.0
Will the Panthers win Super Bowl 2025?,5,0.0005,0.0006958320317757868,0.0
Will the Panthers win Super Bowl 2025?,3,0.0005,0.0006980988155085085,0.0
Will the Panthers win Super Bowl 2025?,2,0.0015,0.000937945077364277,0.0
Will the Panthers win Super Bowl 2025?,1,0.0005,0.0012469680429653693,0.0
Fed increases interest rates by 25+ bps after Nove,3,0.0015,0.0,0.0
Fed increases interest rates by 25+ bps after Nove,2,0.002,0.021062585366562987,0.0
Fed increases interest rates by 25+ bps after Nove,1,0.0035,0.009171445070225616,0.0
Fed increases interest rates by 25+ bps after Dece,3,0.0015,0.0066068673335501794,0.0
Fed increases interest rates by 25+ bps after Dece,2,0.0005,0.0013779308786177752,0.0
Fed increases interest rates by 25+ bps after Dece,1,0.0005,0.0028213681570994687,0.0
Will Aston Villa win the UEFA Champions League?,7,0.0275,0.015595163145177556,0.0
Will Aston Villa win the UEFA Champions League?,5,0.0075,0.02079701340728052,0.0
