question,outcome,yes_wallets,no_wallets,p_count,p_shares,p_dollar,dispersion,yes_dollar,no_dollar
Will Donald Trump win the 2024 US Presidential Election,1.0,678,2167,0.2383,0.8747,0.9997,0.7614,13933110.4,4608.98
Will Kamala Harris win the 2024 US Presidential Electio,0.0,1031,1130,0.4771,0.9871,0.2612,-0.2159,98754.14,279283.35
Will Donald Trump be inaugurated?,1.0,1771,729,0.7084,0.596,0.9946,0.2862,1490646.57,8020.1
Will the Sacramento Kings win the 2025 NBA Finals?,0.0,295,1891,0.1349,0.4408,0.0012,-0.1338,425.29,368621.28
"MicroStrategy sells any Bitcoin by May 31, 2026?",0.0,896,379,0.7027,0.8301,0.0193,-0.6835,197969.59,10073470.86
Will Nicolae Ciucă win the 2024 Romanian Presidential e,0.0,1104,659,0.6262,0.9977,0.4596,-0.1666,148355.93,174460.83
US forces enter Iran by April 30?,1.0,445,1797,0.1985,0.091,0.9798,0.7813,4600611.66,94739.52
Will Zelenskyy wear a suit before July?,0.0,845,679,0.5545,0.5573,0.0095,-0.545,137648.13,14344594.46
Will any other Republican Politician win the 2024 US Pr,0.0,1301,473,0.7334,0.9838,0.0669,-0.6664,25486.96,355264.69
Fed decreases interest rates by 50+ bps after January 2,0.0,1158,960,0.5467,0.8402,0.01,-0.5368,46763.08,4644162.93
Fed increases interest rates by 25+ bps after January 2,0.0,1491,780,0.6565,0.8165,0.0056,-0.6509,43800.31,7753800.93
"US x Iran ceasefire extended by April 22, 2026?",0.0,559,748,0.4277,0.4368,0.0022,-0.4255,86660.6,39154410.98
"US x Iran permanent peace deal by June 15, 2026?",1.0,261,1155,0.1843,0.1888,0.9924,0.8081,15098051.39,115607.27
US x Iran ceasefire by April 7?,1.0,457,1520,0.2312,0.1314,0.9921,0.7609,7815884.44,62388.05
Will the Fed increase interest rates by 25+ bps after t,0.0,1237,764,0.6182,0.7864,0.0042,-0.614,35456.42,8378364.64
Kamala Harris wins the popular vote?,0.0,606,853,0.4154,0.9361,0.1128,-0.3025,59266.88,465935.07
Fed decreases interest rates by 50+ bps after December ,0.0,1754,405,0.8124,0.7513,0.013,-0.7994,55712.94,4236385.2
US government shutdown Saturday?,1.0,648,1007,0.3915,0.107,0.9842,0.5927,1866183.32,29864.6
Will the Toronto Raptors win the 2025 NBA Finals?,0.0,145,2582,0.0532,0.3608,0.0008,-0.0524,224.4,296354.75
Will Michelle Obama win the 2024 US Presidential Electi,0.0,1620,219,0.8809,0.9835,0.0566,-0.8244,17390.09,290126.03
Will Zohran Mamdani win the 2025 NYC mayoral election?,1.0,837,1137,0.424,0.5693,0.9901,0.5661,5871941.94,58542.07
Will Robert F. Kennedy Jr. win the 2024 US Presidential,0.0,1541,400,0.7939,0.8908,0.0083,-0.7856,2677.74,318273.81
"Russia x Ukraine ceasefire by May 31, 2026?",1.0,208,1471,0.1239,0.0898,0.9764,0.8525,12168781.5,293783.99
Will the Panthers win Super Bowl 2025?,0.0,849,576,0.5958,0.6383,0.0019,-0.5939,3395.62,1819962.79
Fed increases interest rates by 25+ bps after November ,0.0,246,553,0.3079,0.641,0.0039,-0.304,1842.48,468999.04
Fed increases interest rates by 25+ bps after December ,0.0,1164,647,0.6427,0.8632,0.007,-0.6358,20828.7,2970208.54
Will Aston Villa win the UEFA Champions League?,0.0,764,818,0.4829,0.7001,0.0164,-0.4665,3542.2,212291.81
Khamenei out as Supreme Leader of Iran by February 28?,1.0,502,1151,0.3037,0.1583,0.9914,0.6877,3613068.81,31290.36
Will the Washington Wizards win the 2025 NBA Finals?,0.0,124,1267,0.0891,0.2125,0.0005,-0.0886,317.08,635748.0
Will the Utah Jazz win the 2025 NBA Finals?,0.0,98,2558,0.0369,0.3315,0.0006,-0.0363,940.41,1691979.53
