horizon_d,price,outcome,t_res
7,0.6655,1.0,2024-11-06
3,0.5585,1.0,2024-11-06
1,0.5855,1.0,2024-11-06
7,0.3345,0.0,2024-11-06
3,0.4415,0.0,2024-11-06
1,0.4145,0.0,2024-11-06
3,0.123,0.0,2026-06-04
7,0.585,1.0,2026-04-09
3,0.8155,1.0,2026-06-18
7,0.105,1.0,2026-04-09
3,0.105,1.0,2026-04-09
1,0.105,1.0,2026-04-09
7,0.7265,0.0,2024-11-12
7,0.725,1.0,2026-02-04
7,0.8825,1.0,2025-11-05
7,0.2565,1.0,2024-11-11
7,0.63,1.0,2025-01-22
3,0.84,1.0,2025-01-22
7,0.645,1.0,2025-12-24
7,0.255,1.0,2026-02-28
3,0.175,1.0,2026-02-28
7,0.235,0.0,2026-06-01
3,0.115,0.0,2026-06-01
7,0.4115,0.0,2025-06-01
3,0.411,0.0,2025-06-01
1,0.405,0.0,2025-06-01
7,0.455,0.0,2026-01-05
7,0.44,1.0,2024-10-18
3,0.845,1.0,2024-10-18
7,0.165,0.0,2026-04-05
3,0.165,0.0,2026-04-05
1,0.165,0.0,2026-04-05
7,0.197,0.0,2025-06-23
1,0.278,0.0,2025-06-23
7,0.195,0.0,2025-04-30
3,0.229,0.0,2025-04-30
1,0.2815,0.0,2025-04-30
7,0.7845,1.0,2025-12-06
7,0.205,1.0,2026-03-04
7,0.135,1.0,2026-05-08
3,0.105,1.0,2026-05-08
3,0.5,1.0,2025-07-03
7,0.5865,1.0,2025-05-31
3,0.59,1.0,2025-05-31
1,0.5895,1.0,2025-05-31
7,0.335,1.0,2025-05-19
3,0.485,1.0,2025-05-19
1,0.48,1.0,2025-05-19
7,0.1455,0.0,2025-09-17
7,0.155,1.0,2026-06-18
7,0.1165,0.0,2025-11-05
7,0.886,1.0,2026-04-25
3,0.195,0.0,2026-03-28
7,0.2115,0.0,2026-06-14
3,0.3745,0.0,2026-06-14
1,0.1915,0.0,2026-06-14
7,0.245,0.0,2026-02-01
3,0.115,0.0,2026-02-01
7,0.615,0.0,2025-06-02
3,0.6645,0.0,2025-06-02
1,0.6365,0.0,2025-06-02
7,0.355,1.0,2025-04-08
7,0.415,0.0,2026-05-30
3,0.415,0.0,2026-05-30
1,0.415,0.0,2026-05-30
7,0.808,1.0,2025-06-01
3,0.857,1.0,2025-06-01
1,0.7535,1.0,2025-06-01
7,0.802,1.0,2025-04-30
3,0.769,1.0,2025-04-30
1,0.7215,1.0,2025-04-30
7,0.815,1.0,2025-09-17
7,0.685,1.0,2026-02-09
3,0.685,1.0,2026-02-09
1,0.685,1.0,2026-02-09
7,0.305,0.0,2025-11-28
7,0.305,0.0,2024-11-16
3,0.29,0.0,2024-11-16
1,0.36,0.0,2024-11-16
7,0.205,0.0,2025-04-01
7,0.665,0.0,2025-05-19
3,0.515,0.0,2025-05-19
1,0.515,0.0,2025-05-19
7,0.39,1.0,2025-06-02
3,0.335,1.0,2025-06-02
1,0.362,1.0,2025-06-02
7,0.7855,1.0,2026-06-14
3,0.6265,1.0,2026-06-14
1,0.8085,1.0,2026-06-14
3,0.1055,0.0,2025-01-27
1,0.104,0.0,2025-01-27
7,0.424,1.0,2025-06-22
3,0.666,1.0,2025-06-22
1,0.4135,1.0,2025-06-22
7,0.585,0.0,2026-06-16
3,0.605,0.0,2026-06-16
1,0.605,0.0,2026-06-16
7,0.425,1.0,2026-04-12
3,0.655,1.0,2026-04-12
1,0.655,1.0,2026-04-12
7,0.31,1.0,2025-07-01
3,0.83,1.0,2025-07-01
7,0.64,0.0,2024-12-01
3,0.225,0.0,2024-12-01
3,0.445,0.0,2026-06-11
1,0.465,0.0,2026-06-11
3,0.625,1.0,2025-11-09
1,0.63,1.0,2025-11-09
