token,q,price,outcome,daily_peak,intra_peak,daily_touch,intra_touch,hidden
34141894076461090122188007837560653115836547685839714096383156529096483178653,Kharg Island no longer under Iranian con,0.0205,0.0,0.0155,0.021,False,False,False
72094069823942324362885404801938332659316240217382754851102758232469673300092,US x Iran permanent peace deal by May 31,0.235,0.0,0.335,0.275,False,False,False
110474507112100782314899291119134194443200805577700445554821199693457132940419,Iran closes its airspace by May 31?,0.309,0.0,0.215,0.257,False,False,False
74212672038111642338418441232512878463316619437420953019668868649846340962463,US-Iran nuclear deal by May 31?,0.1725,0.0,0.275,0.365,False,False,False
2524866258201703875345714303520627683687425586066606325407691453627204155882,Iran agrees to surrender enriched uraniu,0.117,0.0,0.1025,0.269,False,False,False
75368773924796889692244095268680530845326674028335428890799102675233506021923,US announces new Iran agreement/ceasefir,0.245,0.0,0.195,0.265,False,False,False
55729187700220621940979114092031096586154133673216433038757883725632922111626,Israel announces Lebanon ceasefire exten,0.24,1.0,0.9995,0.9995,True,True,False
15995243820336177841554632127584222169952027258346817014909996961549144471612,US x Iran permanent peace deal by June 7,0.095,0.0,0.065,0.095,False,False,False
5291002486403963698456394956934053310121036253546476549622050243362322115551,Iran closes its airspace by June 15?,0.0975,1.0,0.9995,0.9995,True,True,False
76527061745629652908457766004409984899987000940094360145808443814083595137867,Iran closes its airspace by June 30?,0.194,1.0,0.9995,0.9995,True,True,False
85757990385932534706988299079078754922989820036885446531805601375736781656061,Iran closes its airspace by June 8?,0.055,1.0,0.9965,0.9995,True,True,False
68283792174293775430535402015214113701251372409839518501034763677920213819299,US-Iran nuclear deal by June 30?,0.235,1.0,0.795,0.9995,True,True,False
110552230042207377373769436375815103661291329913875427644565116020841414815329,Israel closes its airspace by June 15?,0.125,0.0,0.2,0.345,False,False,False
5904694069529905826680225678119990013628860098514322777023141327768111791078,US x Iran permanent peace deal by June 1,0.039,1.0,0.8155,0.9655,True,True,False
107259278816298402654822103861927486042412499982187590917424237525323082866574,Will IR Iran win on 2026-06-21?,0.115,0.0,0.115,0.185,False,False,False
