token,decision_date,res_date,settle_date,price,ep,volume,outcome,exit_value,exited_early,reason,saved,capped,ret,hold
16089502285715435437562615795573134003254593059489358511668863095586726453790,2024-09-27,2024-09-30 12:00:00,2024-09-30 12:00:00,0.09,0.12,10886668.249385,1.0,1.0,False,settle,False,False,7.333333333333334,3
70600361638677588796777424567218334032905836716539802937518727902043802064967,2024-10-23,2024-10-30 00:00:00,2024-10-31 12:00:00,0.07,0.1,27780153.857752,1.0,0.968,True,tp,False,True,8.68,7
85290267909911820861145083593378862676389642289651946031594690199915872220140,2025-01-11,2025-01-18 00:00:00,2025-01-31 12:00:00,0.3,0.32999999999999996,5244881.520466,1.0,0.9625,True,tp,False,True,1.916666666666667,7
98945477733637858465450962476891912492157644608695960144630357224784270311308,2025-04-27,2025-04-30 12:00:00,2025-04-30 12:00:00,0.145,0.175,6833523.777216,1.0,1.0,False,settle,False,False,4.714285714285714,3
51206068829202482808997744250457558395293933138002765306124728156263180732277,2025-05-25,2025-05-31 12:00:00,2025-05-31 12:00:00,0.0235,0.0535,7157114.275138,0.0,0.0,False,settle,False,False,-1.0,6
104422628167008936761369987037644290616132270285833438344290407852434763283031,2025-08-21,2025-08-27 00:00:00,2025-08-31 00:00:00,0.075,0.105,13308140.845727,1.0,0.9695,True,tp,False,True,8.233333333333334,6
23028521999247191382509592533623778873794992301540637683293130012707749906822,2025-08-25,2025-08-31 00:00:00,2025-08-31 00:00:00,0.0355,0.0655,7169803.747769,0.0,0.0,False,settle,False,False,-1.0,6
112153211444214182757126683681310695535349495723244421328848029931818025518629,2025-09-12,2025-09-19 00:00:00,2025-09-30 00:00:00,0.29,0.31999999999999995,8030505.614676,1.0,0.9695,True,tp,False,True,2.0296875000000005,7
15461670030269596072172127340496163534572905073644815010778053425331247529047,2025-09-24,2025-09-30 00:00:00,2025-09-30 00:00:00,0.037,0.067,5951176.84486,0.0,0.0,False,settle,False,False,-1.0,6
12298534257444001884937921623870379302114021174249636016528689384587223402293,2025-09-28,2025-09-30 00:00:00,2025-09-30 00:00:00,0.107,0.137,6805884.965751,0.0,0.0,False,settle,False,False,-1.0,2
8056974132757317296200280829846107035608526850837286443271605113602493796577,2025-10-02,2025-10-10 00:00:00,2025-10-10 00:00:00,0.085,0.115,5865684.505132,1.0,1.0,False,settle,False,False,7.695652173913043,8
84317838341548518890483114460509081388373631447961519857517678607306651005749,2025-10-02,2025-10-08 00:00:00,2025-10-31 00:00:00,0.265,0.29500000000000004,6659880.871753,1.0,0.575,True,tp,False,True,0.949152542372881,6
59081599675814278203312473759248819008347370698283370623500151690444709260342,2025-11-24,2025-11-30 00:00:00,2025-11-30 00:00:00,0.0245,0.0545,4903949.131287,0.0,0.0,False,settle,False,False,-1.0,6
86498068750018438192524977941980476748299785729870940867089250086714498791178,2025-12-27,2025-12-31 00:00:00,2025-12-31 00:00:00,0.0645,0.0945,6161817.701307,1.0,1.0,False,settle,False,False,9.582010582010582,4
58194798786674267467235696472878300864943462064955274098210719743062794563955,2025-12-29,2025-12-31 00:00:00,2025-12-31 00:00:00,0.0685,0.0985,51073020.592839,0.0,0.0,False,settle,False,False,-1.0,2
