token,domain,leg,decision_date,price,outcome,res_date,volume,question,CE,S,calm,entry,pnl
78309444736185544262992162576931418260050379456195987873071545690014436803266,crypto/financial,yes,2024-05-17,0.1,1.0,2024-05-31 12:00:00,13226512.33,Ethereum ETF approved by May 31?,0.9,0,True,0.11,0.89
60000255314413297959092010551321835608454135565914999759137183744429056568944,politics,yes,2024-06-28,0.035,0.0,2024-07-04 12:00:00,4490151.55,Biden drops out by July 4? ,-0.035,0,True,0.045000000000000005,-0.045000000000000005
87406562398979962299468279520190492088871692967284999093076550605890113634903,politics,yes,2024-07-09,0.2725,1.0,2024-09-04 12:00:00,6452293.01,Will JD Vance win the 2024 Republican VP nomination?,0.7275,0,True,0.28250000000000003,0.7175
12984464721928974901008319473515842286719090811280039836128333307015059841267,politics,yes,2024-07-09,0.089,0.0,2024-09-05 12:00:00,4993587.5,Will Ben Carson win the 2024 Republican VP nomination?,-0.089,0,True,0.09899999999999999,-0.09899999999999999
65092927370852609662885428385644509696459664248264148366229964110037087971304,politics,yes,2024-07-09,0.023,0.0,2024-09-05 12:00:00,4356530.86,Will Kristi Noem win the 2024 Republican VP nomination?,-0.023,0,True,0.033,-0.033
77140697329479964870511208765806474371806608348448281625118401244163837435440,politics,yes,2024-07-09,0.0595,0.0,2024-09-05 12:00:00,6674832.41,Will Vivek Ramaswamy win the 2024 Republican VP nomination?,-0.0595,0,True,0.06949999999999999,-0.06949999999999999
96581242105925530720067597798293176070850090828087280834387218365384943182684,politics,yes,2024-07-09,0.029,0.0,2024-09-05 12:00:00,4881266.8,Will Tim Scott win the 2024 Republican VP nomination?,-0.029,0,True,0.039,-0.039
40306861893772823895616275124362770343291841546672823347007588540373613934565,politics,yes,2024-07-25,0.077,0.0,2024-07-31 12:00:00,11663215.12,Will Biden announce resignation by July 31?,-0.077,0,True,0.087,-0.087
27057169367348546369390537394834822471718976618594822114237756875683431444856,politics,yes,2024-07-30,0.033,0.0,2024-08-22 12:00:00,9023366.09,Will Pete Buttigieg be the 2024 Democratic VP nominee?,-0.033,0,True,0.043000000000000003,-0.043000000000000003
46311132436247057531640786989767599791913611864664511200336530652307752906151,politics,yes,2024-07-30,0.34,0.0,2024-08-22 12:00:00,16505096.89,Will Josh Shapiro be the 2024 Democratic VP nominee?,-0.34,0,True,0.35000000000000003,-0.35000000000000003
97758428236705516690538777852915186480059636119322857538294002903791510422526,politics,yes,2024-07-30,0.024,0.0,2024-08-22 12:00:00,5287492.85,Will another man be the 2024 Democratic VP nominee?,-0.024,0,True,0.034,-0.034
80712420758383921582936584763126351359250932707204568764353087094189787249591,politics,yes,2024-07-30,0.041,0.0,2024-08-22 12:00:00,11499090.47,Will Andy Beshear be the 2024 Democratic VP nominee?,-0.041,0,True,0.051000000000000004,-0.051000000000000004
77290004420469807303121418983410594259783349435877463527461916026337527709766,politics,yes,2024-07-30,0.1765,1.0,2024-08-22 12:00:00,12902914.06,Will Tim Walz be the 2024 Democratic VP nominee?,0.8235,0,True,0.1865,0.8135
33577969371286343977356206611656200628557136541726617870627297931147773896148,politics,yes,2024-08-20,0.07,1.0,2024-08-31 12:00:00,6195836.69,RFK Jr. endorses Trump in August?,0.93,0,True,0.08,0.92
88997608657340490186935536371512680774552192672103556721227664348948273368629,politics,yes,2024-08-25,0.0435,0.0,2024-08-31 12:00:00,7019568.87,JD Vance replaced as Republican VP nominee?,-0.0435,1,True,0.0535,-0.0535
89262722133387845193166560202808972424089924545438804960915341631492994906283,crypto/financial,yes,2024-09-11,0.0295,0.0,2024-09-18 12:00:00,23499210.730061,No change in Fed interest rates after 2024 September meeting?,-0.0295,0,True,0.0395,-0.0395
