token,domain,leg,decision_date,price,outcome,res_date,volume,question,CE,S,calm,entry_cost,eff_entry,pnl_net
16089502285715435437562615795573134003254593059489358511668863095586726453790,geopolitics,yes,2024-09-27,0.09,1.0,2024-09-30 12:00:00,10886668.249385,Israeli forces enters Lebanon in September?,0.91,0,True,0.03,0.12,0.88
70600361638677588796777424567218334032905836716539802937518727902043802064967,geopolitics,yes,2024-10-23,0.07,1.0,2024-10-31 12:00:00,27780153.857752,Israel military action against Iraq before November?,0.93,1,True,0.03,0.1,0.9
85290267909911820861145083593378862676389642289651946031594690199915872220140,geopolitics,yes,2025-01-11,0.3,1.0,2025-01-31 12:00:00,5244881.520466,Israel x Hamas ceasefire by January 31?,0.7,2,True,0.03,0.33,0.67
98945477733637858465450962476891912492157644608695960144630357224784270311308,geopolitics,yes,2025-04-27,0.145,1.0,2025-04-30 12:00:00,6833523.777216,Trump x Ukraine mineral deal signed before May?,0.855,0,True,0.03,0.175,0.825
51206068829202482808997744250457558395293933138002765306124728156263180732277,geopolitics,yes,2025-05-25,0.0235,0.0,2025-05-31 12:00:00,7157114.275138,Russia x Ukraine ceasefire before June?,-0.0235,1,True,0.03,0.0535,-0.0535
104422628167008936761369987037644290616132270285833438344290407852434763283031,geopolitics,yes,2025-08-21,0.075,1.0,2025-08-31 00:00:00,13308140.845727,Houthi strike on Israel by August 31?,0.925,0,True,0.03,0.105,0.895
23028521999247191382509592533623778873794992301540637683293130012707749906822,geopolitics,yes,2025-08-25,0.0355,0.0,2025-08-31 00:00:00,7169803.747769,Israel x Hamas ceasefire by August 31?,-0.0355,0,True,0.03,0.0655,-0.0655
112153211444214182757126683681310695535349495723244421328848029931818025518629,geopolitics,yes,2025-09-12,0.29,1.0,2025-09-30 00:00:00,8030505.614676,Will Trump impose more sanctions on Russia by September 30?,0.71,1,True,0.03,0.32,0.68
15461670030269596072172127340496163534572905073644815010778053425331247529047,geopolitics,yes,2025-09-24,0.037,0.0,2025-09-30 00:00:00,5951176.84486,Israel x Hamas ceasefire by September 30?,-0.037,1,True,0.03,0.067,-0.067
12298534257444001884937921623870379302114021174249636016528689384587223402293,geopolitics,yes,2025-09-28,0.107,0.0,2025-09-30 00:00:00,6805884.965751,Trump strikes another drug boat by Sep 30?,-0.107,1,True,0.03,0.137,-0.137
