horizon_d,t_entry,t_res,price,outcome,yes_token,condition_id,question,n_visible,bulls,bears,entry,ret
7,2026-05-28,2026-06-04,0.0705,0.0,25714007960293389110960044475283546872601238755063051359394740854408462452120,0x3733a1b647e7364095736ab0966465d896a84cf3b6bc1695ca1f26c3239b3868,"MicroStrategy sells any Bitcoin by May 31, 20",25,0,0,0.0905,-1.0
3,2026-06-01,2026-06-04,0.123,0.0,25714007960293389110960044475283546872601238755063051359394740854408462452120,0x3733a1b647e7364095736ab0966465d896a84cf3b6bc1695ca1f26c3239b3868,"MicroStrategy sells any Bitcoin by May 31, 20",26,0,0,0.143,-1.0
7,2026-04-24,2026-05-01,0.0015,0.0,50049642142024617231697970377792489304039200104142714216386619263735691638204,0x1d2787cb8aed975d092b2799ed6f4083e9445f7420cdc09e9d47e7d54356c6cd,"US x Iran ceasefire extended by April 22, 202",17,1,0,0.021500000000000002,-1.0
3,2026-04-28,2026-05-01,0.0025,0.0,50049642142024617231697970377792489304039200104142714216386619263735691638204,0x1d2787cb8aed975d092b2799ed6f4083e9445f7420cdc09e9d47e7d54356c6cd,"US x Iran ceasefire extended by April 22, 202",17,1,0,0.0225,-1.0
7,2026-06-11,2026-06-18,0.039,1.0,5904694069529905826680225678119990013628860098514322777023141327768111791078,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,"US x Iran permanent peace deal by June 15, 20",28,0,0,0.059,15.949152542372882
3,2026-06-15,2026-06-18,0.8155,1.0,5904694069529905826680225678119990013628860098514322777023141327768111791078,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,"US x Iran permanent peace deal by June 15, 20",28,1,0,0.8355,0.1968880909634949
7,2026-05-01,2026-05-08,0.09,1.0,79574854225464477884287524461980167393583915155475895540399834902850789709576,0xa93b28a6384aefff4e7d5adb2061c444e4a0e95b8ad17755f9cee123c7099b35,"Russia x Ukraine ceasefire by May 31, 2026?",18,0,1,0.11,8.090909090909092
3,2026-05-05,2026-05-08,0.0605,1.0,79574854225464477884287524461980167393583915155475895540399834902850789709576,0xa93b28a6384aefff4e7d5adb2061c444e4a0e95b8ad17755f9cee123c7099b35,"Russia x Ukraine ceasefire by May 31, 2026?",20,0,1,0.0805,11.422360248447205
7,2026-06-23,2026-06-30,0.0035,0.0,58374167250364215964582274356498746399676421878376948523944979542572589542202,0x289568d555ec620ed6fa33c936c5f42649d3a2e30748a1daf7079f42453fbea4,Will Ivory Coast win the 2026 FIFA World Cup?,38,0,0,0.0235,-1.0
3,2026-06-27,2026-06-30,0.0035,0.0,58374167250364215964582274356498746399676421878376948523944979542572589542202,0x289568d555ec620ed6fa33c936c5f42649d3a2e30748a1daf7079f42453fbea4,Will Ivory Coast win the 2026 FIFA World Cup?,38,0,0,0.0235,-1.0
7,2026-06-21,2026-06-28,0.0035,0.0,80724786407275266937534613008558715581084712230616856739273522348302669402554,0x65307f30dce84ac35e41813035d3c04933da830dc4efbbb2fcdc4b282700ef3b,Will South Korea win the 2026 FIFA World Cup?,36,0,0,0.0235,-1.0
3,2026-06-25,2026-06-28,0.0025,0.0,80724786407275266937534613008558715581084712230616856739273522348302669402554,0x65307f30dce84ac35e41813035d3c04933da830dc4efbbb2fcdc4b282700ef3b,Will South Korea win the 2026 FIFA World Cup?,38,0,0,0.0225,-1.0
