book,n,n_days,win,mean_ret,ci_lo,ci_hi,sharpe,total_pnl,horizon_d,band
midprice,125,44.0,0.552,0.23129721908949252,-0.035165948588096324,0.828301812315507,0.15986548954285293,28.912152386186566,7,"[0.10,0.90)"
combo≥1,14,11.0,0.5714285714285714,0.07686601792885263,-0.4520914075776254,0.9748392655130691,0.061570931959797265,1.0761242510039368,7,"[0.10,0.90)"
anti(0 bulls),110,44.0,0.5454545454545454,0.24826645979937018,-0.03251253073162302,0.8469643038821939,0.16771188561267494,27.30931057793072,7,"[0.10,0.90)"
flow_only≥1,15,11.0,0.13333333333333333,-0.8570059421123252,-1.0,-0.5117361074807885,-2.2709697277918526,-12.855089131684878,7,"[0.10,0.90)"
midprice,125,44.0,0.552,0.23129721908949252,-0.035165948588096324,0.828301812315507,0.15986548954285293,28.912152386186566,7,"[0.10,0.90)"
combo≥2,2,2.0,0.5,-0.0825688073394496,,,-0.06363961030678933,-0.1651376146788992,7,"[0.10,0.90)"
anti(0 bulls),110,44.0,0.5454545454545454,0.24826645979937018,-0.03251253073162302,0.8469643038821939,0.16771188561267494,27.30931057793072,7,"[0.10,0.90)"
flow_only≥2,1,1.0,0.0,-1.0,,,,-1.0,7,"[0.10,0.90)"
midprice,125,44.0,0.552,0.23129721908949252,-0.035165948588096324,0.828301812315507,0.15986548954285293,28.912152386186566,7,"[0.10,0.90)"
anti(0 bulls),110,44.0,0.5454545454545454,0.24826645979937018,-0.03251253073162302,0.8469643038821939,0.16771188561267494,27.30931057793072,7,"[0.10,0.90)"
midprice,28,25.0,0.39285714285714285,0.8607017305536474,-0.06116713058573523,1.7167262076690164,0.3532827296869958,24.099648455502127,7,"[0.10,0.30)"
combo≥1,4,4.0,0.25,0.11111111111111116,-1.0,2.3333333333333335,0.05000000000000002,0.44444444444444464,7,"[0.10,0.30)"
anti(0 bulls),24,21.0,0.4166666666666667,0.9856335004607368,-0.03539827841806701,2.003022612160716,0.3955311499010651,23.655204011057684,7,"[0.10,0.30)"
flow_only≥1,25,17.0,0.36,-0.48893637300501536,-0.7023590411507694,-0.03150467028859041,-0.6771194530030525,-12.223409325125385,7,"[0.10,0.30)"
midprice,28,25.0,0.39285714285714285,0.8607017305536474,-0.06116713058573523,1.7167262076690164,0.3532827296869958,24.099648455502127,7,"[0.10,0.30)"
combo≥2,1,1.0,0.0,-1.0,,,,-1.0,7,"[0.10,0.30)"
anti(0 bulls),24,21.0,0.4166666666666667,0.9856335004607368,-0.03539827841806701,2.003022612160716,0.3955311499010651,23.655204011057684,7,"[0.10,0.30)"
flow_only≥2,2,2.0,0.5,-0.0825688073394496,,,-0.06363961030678933,-0.1651376146788992,7,"[0.10,0.30)"
midprice,28,25.0,0.39285714285714285,0.8607017305536474,-0.06116713058573523,1.7167262076690164,0.3532827296869958,24.099648455502127,7,"[0.10,0.30)"
anti(0 bulls),24,21.0,0.4166666666666667,0.9856335004607368,-0.03539827841806701,2.003022612160716,0.3955311499010651,23.655204011057684,7,"[0.10,0.30)"
midprice,84,33.0,0.5714285714285714,0.06918465001088084,-0.13741144298202626,0.42161575248096,0.06986418578059055,5.811510600913991,7,"[0.30,0.70)"
combo≥1,7,6.0,0.5714285714285714,0.008495464790164593,-0.6941896024464832,0.6103779081038891,0.00898969294644515,0.05946825353115215,7,"[0.30,0.70)"
anti(0 bulls),76,33.0,0.5657894736842105,0.06875427355435437,-0.1376186195222438,0.4321125459709668,0.06839062358662697,5.225324790130932,7,"[0.30,0.70)"
flow_only≥1,22,16.0,0.2727272727272727,-0.5381105970096406,-0.8936366534131898,0.15152316629505036,-0.5302767356539476,-11.838433134212092,7,"[0.30,0.70)"
midprice,84,33.0,0.5714285714285714,0.06918465001088084,-0.13741144298202626,0.42161575248096,0.06986418578059055,5.811510600913991,7,"[0.30,0.70)"
combo≥2,1,1.0,1.0,0.8348623853211008,,,,0.8348623853211008,7,"[0.30,0.70)"
anti(0 bulls),76,33.0,0.5657894736842105,0.06875427355435437,-0.1376186195222438,0.4321125459709668,0.06839062358662697,5.225324790130932,7,"[0.30,0.70)"
flow_only≥2,2,2.0,0.0,-1.0,,,,-2.0,7,"[0.30,0.70)"
midprice,84,33.0,0.5714285714285714,0.06918465001088084,-0.13741144298202626,0.42161575248096,0.06986418578059055,5.811510600913991,7,"[0.30,0.70)"
anti(0 bulls),76,33.0,0.5657894736842105,0.06875427355435437,-0.1376186195222438,0.4321125459709668,0.06839062358662697,5.225324790130932,7,"[0.30,0.70)"
midprice,13,11.0,0.7692307692307693,-0.07684666694073469,-0.35840884297052017,0.1920647394428092,-0.14475221512384434,-0.999006670229551,7,"[0.70,0.90)"
combo≥1,3,3.0,1.0,0.19073718434277995,0.10375275938189832,0.24146492861576663,2.5203978495419403,0.5722115530283398,7,"[0.70,0.90)"
anti(0 bulls),10,9.0,0.7,-0.15712182232578908,-0.48086106144189716,0.18894571861656326,-0.26809153358137217,-1.5712182232578908,7,"[0.70,0.90)"
flow_only≥1,26,18.0,0.2692307692307692,-0.4750452474503569,-0.7970950072620854,0.21913383561297803,-0.45404219037636,-12.35117643370928,7,"[0.70,0.90)"
midprice,13,11.0,0.7692307692307693,-0.07684666694073469,-0.35840884297052017,0.1920647394428092,-0.14475221512384434,-0.999006670229551,7,"[0.70,0.90)"
anti(0 bulls),10,9.0,0.7,-0.15712182232578908,-0.48086106144189716,0.18894571861656326,-0.26809153358137217,-1.5712182232578908,7,"[0.70,0.90)"
flow_only≥2,3,3.0,0.3333333333333333,-0.3883792048929664,-1.0,0.8348623853211009,-0.3666174209354124,-1.1651376146788992,7,"[0.70,0.90)"
midprice,13,11.0,0.7692307692307693,-0.07684666694073469,-0.35840884297052017,0.1920647394428092,-0.14475221512384434,-0.999006670229551,7,"[0.70,0.90)"
anti(0 bulls),10,9.0,0.7,-0.15712182232578908,-0.48086106144189716,0.18894571861656326,-0.26809153358137217,-1.5712182232578908,7,"[0.70,0.90)"
midprice,152,58.0,0.5526315789473685,0.16712917115049727,-0.052453768914445496,0.6491204277981097,0.11857886485082211,25.403634014875585,3,"[0.10,0.90)"
combo≥1,55,21.0,0.6545454545454545,0.15603448389243,-0.1166243827184305,0.7944867148847667,0.15030384743224132,8.58189661408365,3,"[0.10,0.90)"
anti(0 bulls),84,49.0,0.5119047619047619,0.2284734275221145,-0.09049743483958249,0.7975179374276505,0.1392973703942672,19.191767911857617,3,"[0.10,0.90)"
flow_only≥1,17,10.0,0.11764705882352941,-0.88116458704694,-1.0,-0.6969696969696969,-2.6267337505119226,-14.97979797979798,3,"[0.10,0.90)"
midprice,152,58.0,0.5526315789473685,0.16712917115049727,-0.052453768914445496,0.6491204277981097,0.11857886485082211,25.403634014875585,3,"[0.10,0.90)"
combo≥2,25,12.0,0.64,0.13476576188114742,0.006269982917968995,0.6618645325956677,0.1402278648248004,3.3691440470286858,3,"[0.10,0.90)"
