pool,metric,n_follow,rebalance,screen,n_elig,smart_sharpe,anti_sharpe,all_sharpe,smart_pnl,anti_pnl,all_pnl,spread_anti,spread_all
7d,pnl_total,3,7,on,46,0.2896,-0.3793,-0.3316,0.0094,-0.0681,-0.0275,0.6689,0.6212
7d,pnl_total,3,7,off,50,0.2896,0.1727,-0.3439,0.0094,0.0565,-0.028,0.1169,0.6335
7d,pnl_total,3,14,on,46,-0.5151,-0.5417,-0.5846,-0.0046,-0.0891,-0.0413,0.0266,0.0695
7d,pnl_total,3,14,off,50,-0.5151,-0.5437,-0.5868,-0.0046,-0.0934,-0.0408,0.0286,0.0717
7d,pnl_total,3,30,on,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_total,3,30,off,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_total,5,7,on,46,0.2365,-0.3421,-0.3316,0.0083,-0.0604,-0.0275,0.5786,0.5681
7d,pnl_total,5,7,off,50,0.2365,-0.3475,-0.3439,0.0083,-0.0587,-0.028,0.584,0.5804
7d,pnl_total,5,14,on,46,-0.6194,-0.5416,-0.5846,-0.0072,-0.088,-0.0413,-0.0778,-0.0348
7d,pnl_total,5,14,off,50,-0.6194,-0.5457,-0.5868,-0.0072,-0.0846,-0.0408,-0.0737,-0.0326
7d,pnl_total,5,30,on,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_total,5,30,off,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_total,10,7,on,46,0.2085,-0.4288,-0.3316,0.0073,-0.0682,-0.0275,0.6373,0.5401
7d,pnl_total,10,7,off,50,0.2257,-0.4356,-0.3439,0.0076,-0.0675,-0.028,0.6613,0.5696
7d,pnl_total,10,14,on,46,-0.684,-0.5466,-0.5846,-0.008,-0.0802,-0.0413,-0.1374,-0.0994
7d,pnl_total,10,14,off,50,-0.6088,-0.5497,-0.5868,-0.0068,-0.0785,-0.0408,-0.0591,-0.022
7d,pnl_total,10,30,on,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_total,10,30,off,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_30d,3,7,on,46,0.2896,-0.3793,-0.3316,0.0094,-0.0681,-0.0275,0.6689,0.6212
7d,pnl_30d,3,7,off,50,0.2896,0.1727,-0.3439,0.0094,0.0565,-0.028,0.1169,0.6335
7d,pnl_30d,3,14,on,46,-0.5151,-0.5417,-0.5846,-0.0046,-0.0891,-0.0413,0.0266,0.0695
7d,pnl_30d,3,14,off,50,-0.5151,-0.5437,-0.5868,-0.0046,-0.0934,-0.0408,0.0286,0.0717
7d,pnl_30d,3,30,on,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_30d,3,30,off,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_30d,5,7,on,46,0.2365,-0.3421,-0.3316,0.0083,-0.0604,-0.0275,0.5786,0.5681
7d,pnl_30d,5,7,off,50,0.2365,-0.3475,-0.3439,0.0083,-0.0587,-0.028,0.584,0.5804
7d,pnl_30d,5,14,on,46,-0.6194,-0.5416,-0.5846,-0.0072,-0.088,-0.0413,-0.0778,-0.0348
7d,pnl_30d,5,14,off,50,-0.6194,-0.5457,-0.5868,-0.0072,-0.0846,-0.0408,-0.0737,-0.0326
7d,pnl_30d,5,30,on,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_30d,5,30,off,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_30d,10,7,on,46,0.2085,-0.4288,-0.3316,0.0073,-0.0682,-0.0275,0.6373,0.5401
7d,pnl_30d,10,7,off,50,0.2257,-0.4356,-0.3439,0.0076,-0.0675,-0.028,0.6613,0.5696
7d,pnl_30d,10,14,on,46,-0.684,-0.5466,-0.5846,-0.008,-0.0802,-0.0413,-0.1374,-0.0994
7d,pnl_30d,10,14,off,50,-0.6088,-0.5497,-0.5868,-0.0068,-0.0785,-0.0408,-0.0591,-0.022
7d,pnl_30d,10,30,on,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_30d,10,30,off,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_90d,3,7,on,46,0.2896,-0.3793,-0.3316,0.0094,-0.0681,-0.0275,0.6689,0.6212
7d,pnl_90d,3,7,off,50,0.2896,0.1727,-0.3439,0.0094,0.0565,-0.028,0.1169,0.6335
7d,pnl_90d,3,14,on,46,-0.5151,-0.5417,-0.5846,-0.0046,-0.0891,-0.0413,0.0266,0.0695
7d,pnl_90d,3,14,off,50,-0.5151,-0.5437,-0.5868,-0.0046,-0.0934,-0.0408,0.0286,0.0717
7d,pnl_90d,3,30,on,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_90d,3,30,off,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_90d,5,7,on,46,0.2365,-0.3421,-0.3316,0.0083,-0.0604,-0.0275,0.5786,0.5681
7d,pnl_90d,5,7,off,50,0.2365,-0.3475,-0.3439,0.0083,-0.0587,-0.028,0.584,0.5804
7d,pnl_90d,5,14,on,46,-0.6194,-0.5416,-0.5846,-0.0072,-0.088,-0.0413,-0.0778,-0.0348
7d,pnl_90d,5,14,off,50,-0.6194,-0.5457,-0.5868,-0.0072,-0.0846,-0.0408,-0.0737,-0.0326
7d,pnl_90d,5,30,on,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_90d,5,30,off,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_90d,10,7,on,46,0.2085,-0.4288,-0.3316,0.0073,-0.0682,-0.0275,0.6373,0.5401
7d,pnl_90d,10,7,off,50,0.2257,-0.4356,-0.3439,0.0076,-0.0675,-0.028,0.6613,0.5696
7d,pnl_90d,10,14,on,46,-0.684,-0.5466,-0.5846,-0.008,-0.0802,-0.0413,-0.1374,-0.0994
7d,pnl_90d,10,14,off,50,-0.6088,-0.5497,-0.5868,-0.0068,-0.0785,-0.0408,-0.0591,-0.022
7d,pnl_90d,10,30,on,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,pnl_90d,10,30,off,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,roi,3,7,on,46,-0.1246,-0.2619,-0.3316,-0.0051,-0.0296,-0.0275,0.1373,0.207
7d,roi,3,7,off,50,-0.1246,0.467,-0.3439,-0.0051,0.1284,-0.028,-0.5916,0.2193
7d,roi,3,14,on,46,-0.7099,-0.5353,-0.5846,-0.015,-0.054,-0.0413,-0.1746,-0.1253
7d,roi,3,14,off,50,-0.7099,-0.685,-0.5868,-0.015,-0.0249,-0.0408,-0.0249,-0.1231
7d,roi,3,30,on,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,roi,3,30,off,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,roi,5,7,on,46,0.7199,-0.4285,-0.3316,0.0455,-0.0724,-0.0275,1.1484,1.0515
7d,roi,5,7,off,50,0.7072,0.0596,-0.3439,0.0441,0.0034,-0.028,0.6476,1.0511
7d,roi,5,14,on,46,0.5202,-0.5377,-0.5846,0.0236,-0.0844,-0.0413,1.0579,1.1048
7d,roi,5,14,off,50,0.5202,-0.7173,-0.5868,0.0236,-0.0229,-0.0408,1.2375,1.107
7d,roi,5,30,on,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,roi,5,30,off,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,roi,10,7,on,46,0.555,-0.4286,-0.3316,0.0208,-0.067,-0.0275,0.9836,0.8866
7d,roi,10,7,off,50,0.5418,-0.4356,-0.3439,0.0198,-0.0675,-0.028,0.9774,0.8857
7d,roi,10,14,on,46,0.2117,-0.5487,-0.5846,0.0037,-0.0791,-0.0413,0.7604,0.7963
7d,roi,10,14,off,50,0.2117,-0.5497,-0.5868,0.0037,-0.0785,-0.0408,0.7614,0.7985
7d,roi,10,30,on,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,roi,10,30,off,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d,sharpe,3,7,on,46,-0.4204,-0.298,-0.3316,-0.02,-0.0421,-0.0275,-0.1224,-0.0888
