date,WALCL,WTREGEN,RRPONTSYD,net_liquidity
2005-01-03,810.9440000000001,4.631,2.25,804.0630000000001
2005-01-04,810.9440000000001,4.631,2.25,804.0630000000001
2005-01-05,815.702,5.65,2.25,807.802
2005-01-06,815.702,5.65,2.25,807.802
2005-01-07,815.702,5.65,2.25,807.802
2005-01-10,815.702,5.65,2.25,807.802
2005-01-11,815.702,5.65,2.25,807.802
2005-01-12,798.455,5.1450000000000005,2.25,791.0600000000001
2005-01-13,798.455,5.1450000000000005,2.25,791.0600000000001
2005-01-14,798.455,5.1450000000000005,2.25,791.0600000000001
2005-01-17,798.455,5.1450000000000005,2.25,791.0600000000001
2005-01-18,798.455,5.1450000000000005,2.25,791.0600000000001
2005-01-19,806.96,4.781,2.25,799.9290000000001
2005-01-20,806.96,4.781,2.25,799.9290000000001
2005-01-21,806.96,4.781,2.25,799.9290000000001
2005-01-24,806.96,4.781,2.25,799.9290000000001
2005-01-25,806.96,4.781,2.25,799.9290000000001
2005-01-26,807.2620000000001,5.252,2.25,799.7600000000001
2005-01-27,807.2620000000001,5.252,2.25,799.7600000000001
2005-01-28,807.2620000000001,5.252,2.25,799.7600000000001
2005-01-31,807.2620000000001,5.252,2.25,799.7600000000001
2005-02-01,807.2620000000001,5.252,2.25,799.7600000000001
2005-02-02,804.746,5.07,2.25,797.4259999999999
2005-02-03,804.746,5.07,2.25,797.4259999999999
2005-02-04,804.746,5.07,2.25,797.4259999999999
2005-02-07,804.746,5.07,2.25,797.4259999999999
2005-02-08,804.746,5.07,2.25,797.4259999999999
2005-02-09,797.299,4.913,2.25,790.136
2005-02-10,797.299,4.913,2.25,790.136
2005-02-11,797.299,4.913,2.25,790.136
2005-02-14,797.299,4.913,2.25,790.136
2005-02-15,797.299,4.913,2.25,790.136
2005-02-16,795.606,4.924,2.25,788.432
2005-02-17,795.606,4.924,2.25,788.432
2005-02-18,795.606,4.924,2.25,788.432
2005-02-21,795.606,4.924,2.25,788.432
2005-02-22,795.606,4.924,2.25,788.432
2005-02-23,804.576,5.25,2.25,797.076
2005-02-24,804.576,5.25,2.25,797.076
2005-02-25,804.576,5.25,2.25,797.076
2005-02-28,804.576,5.25,2.25,797.076
2005-03-01,804.576,5.25,2.25,797.076
2005-03-02,801.2520000000001,5.199,2.25,793.8030000000001
2005-03-03,801.2520000000001,5.199,2.25,793.8030000000001
2005-03-04,801.2520000000001,5.199,2.25,793.8030000000001
2005-03-07,801.2520000000001,5.199,2.25,793.8030000000001
2005-03-08,801.2520000000001,5.199,2.25,793.8030000000001
2005-03-09,799.25,4.304,2.25,792.696
2005-03-10,799.25,4.304,2.25,792.696
2005-03-11,799.25,4.304,2.25,792.696
2005-03-14,799.25,4.304,2.25,792.696
2005-03-15,799.25,4.304,2.25,792.696
2005-03-16,807.211,5.118,2.25,799.843
2005-03-17,807.211,5.118,2.25,799.843
2005-03-18,807.211,5.118,2.25,799.843
2005-03-21,807.211,5.118,2.25,799.843
2005-03-22,807.211,5.118,2.25,799.843
2005-03-23,797.094,4.968,2.25,789.8760000000001
2005-03-24,797.094,4.968,2.25,789.8760000000001
2005-03-25,797.094,4.968,2.25,789.8760000000001
2005-03-28,797.094,4.968,2.25,789.8760000000001
2005-03-29,797.094,4.968,2.25,789.8760000000001
2005-03-30,807.551,4.5920000000000005,2.25,800.7090000000001
2005-03-31,807.551,4.5920000000000005,2.25,800.7090000000001
2005-04-01,807.551,4.5920000000000005,2.25,800.7090000000001
2005-04-04,807.551,4.5920000000000005,2.25,800.7090000000001
2005-04-05,807.551,4.5920000000000005,2.25,800.7090000000001
2005-04-06,797.327,5.296,2.25,789.781
2005-04-07,797.327,5.296,2.25,789.781
2005-04-08,797.327,5.296,2.25,789.781
2005-04-11,797.327,5.296,2.25,789.781
2005-04-12,797.327,5.296,2.25,789.781
2005-04-13,805.707,5.175,2.25,798.282
2005-04-14,805.707,5.175,2.25,798.282
2005-04-15,805.707,5.175,2.25,798.282
2005-04-18,805.707,5.175,2.25,798.282
2005-04-19,805.707,5.175,2.25,798.282
